case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
7,DG_k5_t2,16,16,16,8281.441,382,16,1,29,5783.593149442607,5922.440898561755,3684.5931494426054,2237.847749119148,1910.0,369.0,80.0,0,0,C,224,84,C,8,0.2878072999883443
8,Cplus3F,16,16,16,7832.571,340,16,1,27,5645.649881993082,5725.5706170492085,3717.6498819930825,2007.920735056126,1700.0,327.0,80.0,0,0,B,0,0,,,0.3533820000011474
8,C3FDirect,16,16,16,8029.923,369,16,1,29,5208.160315123139,5760.922711375803,3146.1603151231407,2614.762396252662,1845.0,344.0,80.0,0,0,C,142,65,,,0.22527520000585355
8,DG_k1_t0,16,16,16,8094.566,360,16,1,27,5907.64506597352,5867.565801029645,3859.6450659735206,2007.920735056126,1800.0,347.0,80.0,0,0,B,0,0,B,0,0.4133785000012722
8,DG_k2_t0,16,16,16,8029.923,369,16,1,29,5208.160315123139,5760.922711375803,3146.1603151231407,2614.762396252662,1845.0,344.0,80.0,0,0,C,142,65,C,1,0.22611170000163838
8,DG_k3_t0,16,16,16,8029.923,369,16,1,29,5208.160315123139,5760.922711375803,3146.1603151231407,2614.762396252662,1845.0,344.0,80.0,0,0,C,142,65,C,2,0.18907610001042485
8,DG_k3_t1,16,16,16,8029.923,369,16,1,29,5208.160315123139,5760.922711375803,3146.1603151231407,2614.762396252662,1845.0,344.0,80.0,0,0,C,142,65,C,2,0.200384199997643
8,DG_k5_t2,16,16,16,8029.923,369,16,1,29,5208.160315123139,5760.922711375803,3146.1603151231407,2614.762396252662,1845.0,344.0,80.0,0,0,C,142,65,C,6,0.2370570999919437
9,Cplus3F,16,16,16,8002.745,323,16,1,27,5250.304100481312,5996.745454892836,3437.304100481313,2559.441354411524,1615.0,311.0,80.0,0,0,B,0,0,,,0.5051758000045083
9,C3FDirect,16,16,16,6793.747,310,16,1,29,3939.331267429859,4863.747132987717,2517.3312674298595,2346.4158655578576,1550.0,300.0,80.0,0,0,C,175,100,,,0.3955568000092171
9,DG_k1_t0,16,16,16,8264.741,343,16,1,27,5512.29928446175,6138.740638873275,3579.299284461751,2559.441354411524,1715.0,331.0,80.0,0,0,B,0,0,B,0,0.40965449999202974
9,DG_k2_t0,16,16,16,6793.747,310,16,1,29,3939.331267429859,4863.747132987717,2517.3312674298595,2346.4158655578576,1550.0,300.0,80.0,0,0,C,175,100,C,4,0.34774719999404624
9,DG_k3_t0,16,16,16,6793.747,310,16,1,29,3939.331267429859,4863.747132987717,2517.3312674298595,2346.4158655578576,1550.0,300.0,80.0,0,0,C,175,100,C,5,0.3075488999893423
9,DG_k3_t1,16,16,16,6793.747,310,16,1,29,3939.331267429859,4863.747132987717,2517.3312674298595,2346.4158655578576,1550.0,300.0,80.0,0,0,C,175,100,C,5,0.31393680002656765
9,DG_k5_t2,16,16,16,6793.747,310,16,1,29,3939.331267429859,4863.747132987717,2517.3312674298595,2346.4158655578576,1550.0,300.0,80.0,0,0,C,175,100,C,9,0.28442010001163
10,Cplus3F,16,16,16,8121.092,373,16,1,27,5511.442940599621,5827.091673299493,3445.4429405996225,2381.6487326998717,1865.0,349.0,80.0,0,0,B,0,0,,,0.6381581999885384
10,C3FDirect,16,16,16,7869.847,350,16,1,29,5221.793190191805,5695.84695680503,3315.793190191803,2380.053766613226,1750.0,344.0,80.0,0,0,C,169,83,,,0.265289600007236
10,DG_k1_t0,16,16,16,8383.087,393,16,1,27,5773.43812458006,5969.08685727993,3587.4381245800605,2381.6487326998717,1965.0,369.0,80.0,0,0,B,0,0,B,0,0.5553573000070173
10,DG_k2_t0,16,16,16,7869.847,350,16,1,29,5221.793190191805,5695.84695680503,3315.793190191803,2380.053766613226,1750.0,344.0,80.0,0,0,C,169,83,C,2,0.28730659998836927
10,DG_k3_t0,16,16,16,7869.847,350,16,1,29,5221.793190191805,5695.84695680503,3315.793190191803,2380.053766613226,1750.0,344.0,80.0,0,0,C,169,83,C,4,0.26071269999374636
10,DG_k3_t1,16,16,16,7869.847,350,16,1,29,5221.793190191805,5695.84695680503,3315.793190191803,2380.053766613226,1750.0,344.0,80.0,0,0,C,169,83,C,4,0.34955749998334795
10,DG_k5_t2,16,16,16,7869.847,350,16,1,29,5221.793190191805,5695.84695680503,3315.793190191803,2380.053766613226,1750.0,344.0,80.0,0,0,C,169,83,C,9,0.28523529999074526
11,Cplus3F,16,16,16,9454.773,517,16,1,27,5549.918959677052,6283.772773023273,3427.918959677054,2855.8538133462225,2585.0,506.0,80.0,0,0,B,0,0,,,0.8848240999795962
11,C3FDirect,16,16,16,9628.225,436,16,1,29,5552.041168717306,6962.2246067693795,3475.0411687173055,3487.183438052076,2180.0,406.0,80.0,0,0,C,218,104,,,0.5330375999910757
11,DG_k1_t0,16,16,16,9628.225,436,16,1,29,5552.041168717306,6962.2246067693795,3475.0411687173055,3487.183438052076,2180.0,406.0,80.0,0,0,C,218,104,C,1,0.5824206000252161
11,DG_k2_t0,16,16,16,9628.225,436,16,1,29,5552.041168717306,6962.2246067693795,3475.0411687173055,3487.183438052076,2180.0,406.0,80.0,0,0,C,218,104,C,4,0.4522235000040382
