case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
19,DG_k5_t2,16,16,16,12338.625,584,16,1,27,7962.854501098166,8780.624652558216,4966.854501098167,3813.7701514600467,2920.0,558.0,80.0,0,0,B,2,2,B,2,0.3167665999790188
20,Cplus3F,16,16,16,9161.329,420,16,1,27,6039.085719929155,6580.3288925920415,3824.0857199291568,2756.2431726628884,2100.0,401.0,80.0,0,0,B,0,0,,,0.7153174000268336
20,C3FDirect,16,16,16,11571.159,666,16,1,29,5757.136017064311,7507.159061273824,3343.136017064311,4164.023044209517,3330.0,654.0,80.0,0,0,C,396,217,,,0.7444981999869924
20,DG_k1_t0,16,16,16,9423.324,440,16,1,27,6301.080903909594,6722.32407657248,3966.080903909595,2756.2431726628884,2200.0,421.0,80.0,0,0,B,0,0,B,0,0.6545345000049565
20,DG_k2_t0,16,16,16,11571.159,666,16,1,29,5757.136017064311,7507.159061273824,3343.136017064311,4164.023044209517,3330.0,654.0,80.0,0,0,C,396,217,C,1,0.84502199999406
20,DG_k3_t0,16,16,16,11571.159,666,16,1,29,5757.136017064311,7507.159061273824,3343.136017064311,4164.023044209517,3330.0,654.0,80.0,0,0,C,396,217,C,1,0.842677000007825
20,DG_k3_t1,16,16,16,10946.013,491,16,1,27,6932.338310987911,7943.013299317929,4368.338310987913,3574.674988330019,2455.0,468.0,80.0,0,0,B,0,1,B,1,0.783027099998435
20,DG_k5_t2,16,16,16,11571.159,666,16,1,29,5757.136017064311,7507.159061273824,3343.136017064311,4164.023044209517,3330.0,654.0,80.0,0,0,C,396,217,C,3,0.8658556999871507
21,Cplus3F,16,16,16,9964.666,497,16,1,27,6121.2449825309295,6910.666281009063,3798.2449825309304,3112.4212984781325,2485.0,489.0,80.0,0,0,B,0,0,,,0.6074062999978196
21,C3FDirect,16,16,16,10830.842,601,16,1,29,6130.324146058563,7169.842121744646,3482.324146058561,3687.5179756860857,3005.0,576.0,80.0,0,0,C,400,163,,,0.63261479997891
21,DG_k1_t0,16,16,16,10226.661,517,16,1,27,6383.2401665113675,7052.661464989502,3940.2401665113684,3112.4212984781325,2585.0,509.0,80.0,0,0,B,0,0,B,0,0.574818899971433
21,DG_k2_t0,16,16,16,10477.688,537,16,1,27,6634.266992439872,7183.688290918007,4071.266992439874,3112.4212984781325,2685.0,529.0,80.0,0,0,B,0,0,B,0,0.5510457000054885
21,DG_k3_t0,16,16,16,10830.842,601,16,1,29,6130.324146058563,7169.842121744646,3482.324146058561,3687.5179756860857,3005.0,576.0,80.0,0,0,C,400,163,C,1,0.6897284000006039
21,DG_k3_t1,16,16,16,10863.507,555,16,1,27,7020.0857919387745,7461.507090416908,4349.085791938775,3112.4212984781325,2775.0,547.0,80.0,0,0,B,0,0,B,1,0.47929519999888726
21,DG_k5_t2,16,16,16,11675.739,598,16,1,27,7700.294057983778,8019.739229474396,4806.294057983778,3213.4451714906177,2990.0,586.0,80.0,0,0,B,1,1,B,2,0.41535779999685474
22,Cplus3F,16,16,16,8334.132,339,16,1,27,5679.274400951306,6237.131762392118,3781.2744009513085,2455.8573614408065,1695.0,322.0,80.0,0,0,B,0,0,,,0.5193800000124611
22,C3FDirect,16,16,16,11136.654,591,16,1,29,5713.418595018312,7528.654490580783,3299.418595018312,4229.235895562474,2955.0,573.0,80.0,0,0,C,265,185,,,0.46301669999957085
22,DG_k1_t0,16,16,16,11136.654,591,16,1,29,5713.418595018312,7528.654490580783,3299.418595018312,4229.235895562474,2955.0,573.0,80.0,0,0,C,265,185,C,1,0.5720552999991924
22,DG_k2_t0,16,16,16,11136.654,591,16,1,29,5713.418595018312,7528.654490580783,3299.418595018312,4229.235895562474,2955.0,573.0,80.0,0,0,C,265,185,C,2,0.4881286000018008
22,DG_k3_t0,16,16,16,11136.654,591,16,1,29,5713.418595018312,7528.654490580783,3299.418595018312,4229.235895562474,2955.0,573.0,80.0,0,0,C,265,185,C,2,0.48715319999610074
22,DG_k3_t1,16,16,16,11136.654,591,16,1,29,5713.418595018312,7528.654490580783,3299.418595018312,4229.235895562474,2955.0,573.0,80.0,0,0,C,265,185,C,2,0.47890270000789315
22,DG_k5_t2,16,16,16,11136.654,591,16,1,29,5713.418595018312,7528.654490580783,3299.418595018312,4229.235895562474,2955.0,573.0,80.0,0,0,C,265,185,C,3,0.5457875999854878
23,Cplus3F,16,16,16,8744.088,458,16,1,27,5937.1456139826305,5930.087684591996,3612.1456139826323,2317.9420706093647,2290.0,444.0,80.0,0,0,B,0,0,,,0.24230359998182394
23,C3FDirect,16,16,16,12485.904,825,16,1,29,5923.5630189193635,7470.904109588709,3468.563018919363,4002.341090669346,4125.0,810.0,80.0,0,0,C,363,393,,,0.8238405000010971
23,DG_k1_t0,16,16,16,9006.083,478,16,1,27,6199.140797963069,6072.082868572435,3754.1407979630703,2317.9420706093647,2390.0,464.0,80.0,0,0,B,0,0,B,0,0.2822427999926731
23,DG_k2_t0,16,16,16,12485.904,825,16,1,29,5923.5630189193635,7470.904109588709,3468.563018919363,4002.341090669346,4125.0,810.0,80.0,0,0,C,363,393,C,1,0.9039810000103898
23,DG_k3_t0,16,16,16,12485.904,825,16,1,29,5923.5630189193635,7470.904109588709,3468.563018919363,4002.341090669346,4125.0,810.0,80.0,0,0,C,363,393,C,2,0.8488495000055991
23,DG_k3_t1,16,16,16,12485.904,825,16,1,29,5923.5630189193635,7470.904109588709,3468.563018919363,4002.341090669346,4125.0,810.0,80.0,0,0,C,363,393,C,2,0.6705839000060223
23,DG_k5_t2,16,16,16,12485.904,825,16,1,29,5923.5630189193635,7470.904109588709,3468.563018919363,4002.341090669346,4125.0,810.0,80.0,0,0,C,363,393,C,3,0.7976900000066962
24,Cplus3F,16,16,16,9178.234,437,16,1,27,6037.81795941711,6488.233733395741,3760.817959417112,2727.4157739786274,2185.0,425.0,80.0,0,0,B,0,0,,,0.34814729998470284
24,C3FDirect,16,16,16,9273.468,522,16,1,29,5924.6537582791125,6068.4679497334355,3468.653758279112,2599.8141914543226,2610.0,515.0,80.0,0,0,C,259,139,,,0.5371304999862332
24,DG_k1_t0,16,16,16,9273.468,522,16,1,29,5924.6537582791125,6068.4679497334355,3468.653758279112,2599.8141914543226,2610.0,515.0,80.0,0,0,C,259,139,C,1,0.5294779999821912
24,DG_k2_t0,16,16,16,9273.468,522,16,1,29,5924.6537582791125,6068.4679497334355,3468.653758279112,2599.8141914543226,2610.0,515.0,80.0,0,0,C,259,139,C,2,0.3559272999991663
24,DG_k3_t0,16,16,16,9273.468,522,16,1,29,5924.6537582791125,6068.4679497334355,3468.653758279112,2599.8141914543226,2610.0,515.0,80.0,0,0,C,259,139,C,2,0.5700210999930277
24,DG_k3_t1,16,16,16,9273.468,522,16,1,29,5924.6537582791125,6068.4679497334355,3468.653758279112,2599.8141914543226,2610.0,515.0,80.0,0,0,C,259,139,C,2,0.49620550000690855
24,DG_k5_t2,16,16,16,9273.468,522,16,1,29,5924.6537582791125,6068.4679497334355,3468.653758279112,2599.8141914543226,2610.0,515.0,80.0,0,0,C,259,139,C,3,0.5077493000135291
25,Cplus3F,16,16,16,10279.441,565,16,1,27,6332.068088649617,6820.440941426097,3922.0680886496175,2898.372852776478,2825.0,554.0,80.0,0,0,B,0,0,,,0.6431606000114698
25,C3FDirect,16,16,16,11739.316,614,16,1,29,6312.9044535820385,7994.315877048924,3635.904453582039,4358.411423466886,3070.0,595.0,80.0,0,0,C,276,171,,,0.38558699999703094
25,DG_k1_t0,16,16,16,11739.316,614,16,1,29,6312.9044535820385,7994.315877048924,3635.904453582039,4358.411423466886,3070.0,595.0,80.0,0,0,C,276,171,C,1,0.4399234000011347
25,DG_k2_t0,16,16,16,11739.316,614,16,1,29,6312.9044535820385,7994.315877048924,3635.904453582039,4358.411423466886,3070.0,595.0,80.0,0,0,C,276,171,C,1,0.32551030002650805
25,DG_k3_t0,16,16,16,11739.316,614,16,1,29,6312.9044535820385,7994.315877048924,3635.904453582039,4358.411423466886,3070.0,595.0,80.0,0,0,C,276,171,C,1,0.39489039999898523
