case,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions
190,15,15,15,4493.123,126,22
191,14,14,14,4172.182,130,16
192,13,13,13,4293.155,137,15
193,16,16,16,3785.355,112,17
194,10,10,10,4484.568,135,11
195,10,10,10,3810.783,130,10
196,15,15,15,4728.556,121,15
197,12,12,12,4226.163,129,12
198,14,14,14,4269.423,127,15
199,11,11,11,4027.046,139,11
200,11,11,11,3960.66,126,14
201,12,12,12,4255.74,125,13
202,14,14,14,3983.973,115,15
203,11,11,11,3774.773,142,15
204,12,12,12,3686.504,123,12
205,12,12,12,4822.237,139,17
206,16,16,16,4412.721,110,16
207,12,12,12,4250.755,129,12
208,11,11,11,4051.714,124,11
209,13,13,13,4600.372,123,20
210,12,12,12,4115.899,118,16
211,14,14,14,4862.26,132,21
212,11,11,11,4843.705,126,24
213,14,14,14,4283.089,122,15
214,11,11,11,3767.5,133,11
215,10,10,10,3968.673,126,13
216,16,16,16,4767.347,119,30
217,14,14,14,4604.646,127,16
218,16,16,16,3830.828,111,16
219,10,10,10,3994.283,136,11
220,14,14,14,5003.588,134,24
221,12,12,12,4495.305,132,16
222,15,15,15,4464.626,118,18
223,10,10,10,3630.548,122,12
224,13,13,13,4272.306,127,15
225,16,16,16,5425.975,119,27
226,11,11,11,4325.52,126,16
227,15,15,15,5767.418,133,27
228,16,16,16,4561.847,133,16
229,14,14,14,4380.727,133,14
230,10,10,10,5073.271,142,28
231,13,13,13,4584.632,137,14
232,11,11,11,4067.071,126,14
233,16,16,16,4856.174,132,18
234,13,13,13,4686.307,128,15
235,16,16,16,4354.306,106,27
236,12,12,12,4890.6,139,17
237,13,13,13,3763.118,125,13
238,15,15,15,4613.307,134,20
239,11,11,11,4011.051,122,13
240,12,12,12,4463.849,125,14
241,11,11,11,3656.194,126,11
242,13,13,13,4409.876,128,26
243,13,13,13,3902.332,122,18
244,16,16,16,4818.426,111,23
245,13,13,13,4656.315,127,19
246,11,11,11,4271.231,129,15
247,11,11,11,3947.867,127,11
248,12,12,12,4345.799,129,17
249,10,10,10,4099.639,129,10
250,12,12,12,4563.832,132,23
251,11,11,11,4017.792,132,13
252,12,12,12,4120.376,122,13
253,11,11,11,4233.865,123,19
254,11,11,11,4377.933,134,11
255,15,15,15,5667.763,142,38
256,11,11,11,4067.531,128,11
257,13,13,13,4885.808,121,18
258,11,11,11,4112.131,120,11
259,12,12,12,4024.309,114,12
260,15,15,15,4981.118,113,15
261,13,13,13,4069.932,121,13
262,14,14,14,5431.004,121,21
263,15,15,15,4796.205,130,24
264,10,10,10,3917.9,131,12
265,15,15,15,4595.319,134,15
266,13,13,13,4721.171,134,18
267,10,10,10,4415.717,143,19
268,11,11,11,3641.069,128,11
269,15,15,15,4795.264,130,15
270,13,13,13,4019.342,123,15
271,12,12,12,5197.919,137,23
272,15,15,15,3891.044,114,19
273,14,14,14,4343.831,118,16
274,16,16,16,3539.083,91,18
275,13,13,13,4863.242,132,25
276,15,15,15,4118.149,110,20
277,15,15,15,5118.037,119,23
278,11,11,11,4551.196,134,14
279,10,10,10,3733.435,126,10
280,14,14,14,4280.188,133,17
