case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,pruned_truth_hits,pruned_samples,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
85,Cplus3FB,11,11,11,7267.077,383,11,1,29,5842.159499634027,4917.077143389931,3630.1594996340264,1286.9176437559045,1915.0,380.0,55.0,0,4,C,68,73,0,[],,,,,0.08683670000755228
85,B,11,11,11,8845.113,458,11,1,27,6654.8719793931805,6063.113073269473,4081.871979393182,1981.2410938762907,2290.0,437.0,55.0,0,,,,,,,,,,,0.37491500002215616
86,Cplus3F,11,11,11,7433.32,391,11,1,29,5956.779789237966,5038.320095508693,3662.7797892379645,1375.5403062707312,1955.0,385.0,55.0,0,4,C,90,57,,,,,,,0.24759590000030585
86,Cplus3FB,11,11,11,7433.32,391,11,1,29,5956.779789237966,5038.320095508693,3662.7797892379645,1375.5403062707312,1955.0,385.0,55.0,0,4,C,90,57,0,[],,,,,0.299164700001711
86,B,11,11,11,8686.153,421,11,1,27,6494.683844628772,6120.152660689741,4103.683844628774,2016.4688160609687,2105.0,406.0,55.0,0,,,,,,,,,,,0.3599537000118289
87,Cplus3F,11,11,11,7922.903,374,11,1,29,5830.112055661678,5632.903468302218,3660.112055661677,1972.7914126405412,1870.0,365.0,55.0,0,2,C,43,40,,,,,,,0.22387529999832623
87,Cplus3FB,11,11,11,7922.903,374,11,1,29,5830.112055661678,5632.903468302218,3660.112055661677,1972.7914126405412,1870.0,365.0,55.0,0,2,C,43,40,0,[],,,,,0.22412540001096204
87,B,11,11,11,8513.368,403,11,1,27,6378.8719793931805,6052.367762875683,4081.871979393182,1970.4957834825009,2015.0,391.0,55.0,0,,,,,,,,,,,0.446811500005424
88,Cplus3F,13,13,13,7737.033,351,13,1,29,5626.821735061133,5579.032914162773,3692.821735061131,1886.2111791016428,1755.0,338.0,65.0,0,4,C,104,67,,,,,,,0.3364456999988761
88,Cplus3FB,13,13,13,7737.033,351,13,1,29,5626.821735061133,5579.032914162773,3692.821735061131,1886.2111791016428,1755.0,338.0,65.0,0,4,C,104,67,0,[],,,,,0.3661168999969959
88,B,13,13,13,9207.432,407,13,1,27,6400.231245708587,6717.4322026341415,4122.231245708589,2595.2009569255497,2035.0,390.0,65.0,0,,,,,,,,,,,0.5130338000017218
89,Cplus3F,11,11,11,7342.96,387,11,1,29,5977.573507704364,4977.959689680202,3709.5735077043637,1268.386181975838,1935.0,375.0,55.0,0,6,C,38,50,,,,,,,0.32077050002408214
89,Cplus3FB,11,11,11,7342.96,387,11,1,29,5977.573507704364,4977.959689680202,3709.5735077043637,1268.386181975838,1935.0,375.0,55.0,0,6,C,38,50,0,[],,,,,0.34585479999077506
89,B,11,11,11,8913.095,388,11,1,27,6222.8719793931805,6551.095045529397,4081.871979393182,2469.2230661362178,1940.0,367.0,55.0,0,,,,,,,,,,,0.3679988000076264
90,Cplus3F,12,12,12,7302.7,338,12,1,29,5675.393563370372,5215.699752913843,3657.393563370372,1558.306189543472,1690.0,337.0,60.0,0,4,C,67,50,,,,,,,0.05048819998046383
90,Cplus3FB,12,12,12,7302.7,338,12,1,29,5675.393563370372,5215.699752913843,3657.393563370372,1558.306189543472,1690.0,337.0,60.0,0,4,C,67,50,0,[],,,,,0.05212579999351874
90,B,12,12,12,8080.569,371,12,1,27,6192.8719793931805,5804.569363810246,4081.871979393182,1722.6973844170661,1855.0,361.0,60.0,0,,,,,,,,,,,0.36893700002110563
91,Cplus3F,16,16,16,6696.748,264,16,1,29,4681.360538853917,5045.747853764705,3186.3605388539168,1859.387314910788,1320.0,251.0,80.0,0,5,C,81,60,,,,,,,0.3660303000069689
91,Cplus3FB,16,16,16,6696.748,264,16,1,29,4681.360538853917,5045.747853764705,3186.3605388539168,1859.387314910788,1320.0,251.0,80.0,0,5,C,81,60,0,[],,,,,0.3032488999888301
91,B,16,16,16,7650.043,337,16,1,27,4816.171016931964,5568.042955550177,3210.1710169319645,2357.87193861821,1685.0,317.0,80.0,0,,,,,,,,,,,0.505470600008266
92,Cplus3F,11,11,11,7256.887,363,11,1,29,5897.742378320398,5027.886558373725,3731.742378320398,1296.1441800533264,1815.0,359.0,55.0,0,5,C,43,42,,,,,,,0.0863682999915909
92,Cplus3FB,11,11,11,7256.887,363,11,1,29,5897.742378320398,5027.886558373725,3731.742378320398,1296.1441800533264,1815.0,359.0,55.0,0,5,C,43,42,0,[],,,,,0.07283900000038557
92,B,11,11,11,7617.231,352,11,1,27,6140.034065251684,5454.23082545273,4090.0340652516857,1364.1967602010448,1760.0,348.0,55.0,0,,,,,,,,,,,0.20636529999319464
93,Cplus3F,15,15,15,7635.263,291,15,1,29,5172.404547423395,5837.2629586269495,3669.4045474233944,2167.8584112035555,1455.0,268.0,75.0,0,8,C,69,84,,,,,,,0.3595789999817498
93,Cplus3FB,15,15,15,7635.263,291,15,1,29,5172.404547423395,5837.2629586269495,3669.4045474233944,2167.8584112035555,1455.0,268.0,75.0,0,8,C,69,84,0,[],,,,,0.40024840002297424
93,B,15,15,15,8575.405,286,15,1,27,5634.871979393181,6798.404719994041,4081.871979393182,2716.53274060086,1430.0,272.0,75.0,0,,,,,,,,,,,0.3912007999897469
94,Cplus3F,11,11,11,7556.418,374,11,1,29,5880.559979653397,5260.4177072420425,3657.5599796533966,1602.8577275886466,1870.0,371.0,55.0,0,3,C,60,55,,,,,,,0.04843620001338422
94,Cplus3FB,11,11,11,7556.418,374,11,1,29,5880.559979653397,5260.4177072420425,3657.5599796533966,1602.8577275886466,1870.0,371.0,55.0,0,3,C,60,55,0,[],,,,,0.044540800008689985
94,B,11,11,11,9025.435,372,11,1,27,6156.8719793931805,6757.435018673396,4081.871979393182,2675.563039280218,1860.0,353.0,55.0,0,,,,,,,,,,,0.33493510002153926
95,Cplus3F,13,13,13,7420.733,299,13,1,29,5371.660105645584,5567.732609852954,3664.6601056455825,1903.0725042073714,1495.0,293.0,65.0,0,6,C,58,46,,,,,,,0.15376590000232682
95,Cplus3FB,13,13,13,7420.733,299,13,1,29,5371.660105645584,5567.732609852954,3664.6601056455825,1903.0725042073714,1495.0,293.0,65.0,0,6,C,58,46,0,[],,,,,0.20586070002173074
95,B,13,13,13,8750.349,380,13,1,27,6174.8719793931805,6425.348628499815,4081.871979393182,2343.476649106632,1900.0,360.0,65.0,0,,,,,,,,,,,0.5195720999909099
96,Cplus3F,12,12,12,8030.519,373,12,1,29,5755.022769898555,5739.519038520477,3640.0227698985564,2099.4962686219196,1865.0,366.0,60.0,0,2,C,78,59,,,,,,,0.19705779998912476
96,Cplus3FB,12,12,12,8030.519,373,12,1,29,5755.022769898555,5739.519038520477,3640.0227698985564,2099.4962686219196,1865.0,366.0,60.0,0,2,C,78,59,0,[],,,,,0.21427820000099018
96,B,12,12,12,9806.609,439,12,1,27,6600.882207690024,7133.60852071551,4131.882207690025,3001.7263130254887,2195.0,418.0,60.0,0,,,,,,,,,,,0.24434599999221973
97,Cplus3F,10,10,10,7290.792,378,10,1,29,5916.8840736848715,4975.791527868397,3663.884073684871,1311.9074541835257,1890.0,375.0,50.0,0,5,C,15,36,,,,,,,0.07635210000444204
97,Cplus3FB,10,10,10,7290.792,378,10,1,29,5916.8840736848715,4975.791527868397,3663.884073684871,1311.9074541835257,1890.0,375.0,50.0,0,5,C,15,36,0,[],,,,,0.07349999999860302
97,B,10,10,10,8185.407,396,10,1,27,6275.298376220725,5781.407104612337,4129.298376220727,1652.1087283916124,1980.0,374.0,50.0,0,,,,,,,,,,,0.32276599999750033
98,Cplus3F,15,15,15,7551.091,292,15,1,29,5312.513621787828,5734.091373486579,3641.513621787827,2092.5777516987537,1460.0,282.0,75.0,0,6,C,26,46,,,,,,,0.32569530000910163
98,Cplus3FB,15,15,15,7551.091,292,15,1,29,5312.513621787828,5734.091373486579,3641.513621787827,2092.5777516987537,1460.0,282.0,75.0,0,6,C,26,46,0,[],,,,,0.4564664000063203
98,B,15,15,15,7861.203,280,15,1,27,5640.871979393181,6113.2033036004705,4081.871979393182,2031.3313242072911,1400.0,273.0,75.0,0,,,,,,,,,,,0.43868009999278
99,Cplus3F,15,15,15,6937.244,294,15,1,29,5423.050908077589,5100.244133691741,3682.0509080775882,1418.1932256141504,1470.0,292.0,75.0,0,4,C,41,49,,,,,,,0.17700190001050942
99,Cplus3FB,15,15,15,6937.244,294,15,1,29,5423.050908077589,5100.244133691741,3682.0509080775882,1418.1932256141504,1470.0,292.0,75.0,0,4,C,41,49,0,[],,,,,0.18668449998949654
