case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,pruned_truth_hits,pruned_samples,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
29,Cplus3FB,16,16,16,7927.262,359,16,1,27,4743.075197967615,5708.261944461118,3019.075197967615,2689.186746493505,1795.0,344.0,80.0,0,0,B,72,73,0,"[{'channel': 5, 'point': [1133.4, 1589.7], 'min_dist_m': 1729.6, 'truth_success': False}, {'channel': 5, 'point': [1119.0, 427.0], 'min_dist_m': 2133.1, 'truth_success': False}, {'channel': 5, 'point': [1724.0, 938.8], 'min_dist_m': 2438.5, 'truth_success': False}]",,,,,0.36725780001142994
29,B,16,16,16,8363.262,431,16,1,27,4947.075197967614,5708.261944461118,3019.075197967615,2689.186746493505,2155.0,420.0,80.0,0,,,,,,,,,,,0.32681219998630695
30,Cplus3F,16,16,16,8619.05,411,16,1,27,5511.005935273575,6082.050160876168,3439.005935273577,2643.044225602591,2055.0,402.0,80.0,0,0,B,0,0,,,,,,,0.3060170999960974
30,Cplus3FB,16,16,16,8432.05,380,16,1,27,5331.005935273575,6082.050160876168,3439.005935273577,2643.044225602591,1900.0,370.0,80.0,0,0,B,31,70,0,"[{'channel': 10, 'point': [1133.4, 1589.7], 'min_dist_m': 1804.4, 'truth_success': False}, {'channel': 12, 'point': [1133.4, 1589.7], 'min_dist_m': 1705.7, 'truth_success': False}, {'channel': 10, 'point': [1119.0, 427.0], 'min_dist_m': 2178.9, 'truth_success': False}]",,,,,0.29866200001561083
30,B,16,16,16,8619.05,411,16,1,27,5511.005935273575,6082.050160876168,3439.005935273577,2643.044225602591,2055.0,402.0,80.0,0,,,,,,,,,,,0.2933714999817312
31,Cplus3F,16,16,16,9469.715,493,16,1,27,6458.946470318718,6451.715406793948,3948.9464703187177,2502.7689364752305,2465.0,473.0,80.0,0,0,B,0,0,,,,,,,0.3565578999987338
31,Cplus3FB,16,16,16,8880.715,395,16,1,27,6044.946470318718,6451.715406793948,3948.9464703187177,2502.7689364752305,1975.0,374.0,80.0,0,0,B,98,64,0,"[{'channel': 2, 'point': [1133.4, 1589.7], 'min_dist_m': 1649.2, 'truth_success': False}, {'channel': 7, 'point': [1133.4, 1589.7], 'min_dist_m': 1896.1, 'truth_success': False}, {'channel': 15, 'point': [1133.4, 1589.7], 'min_dist_m': 1824.8, 'truth_success': False}]",,,,,0.33262299999478273
31,B,16,16,16,9469.715,493,16,1,27,6458.946470318718,6451.715406793948,3948.9464703187177,2502.7689364752305,2465.0,473.0,80.0,0,,,,,,,,,,,0.38315929999225773
32,Cplus3F,16,16,16,8442.067,393,16,1,27,6311.477026254433,6008.066880709331,3977.4770262544357,2030.5898544548936,1965.0,389.0,80.0,0,0,B,0,0,,,,,,,0.1531461999984458
32,Cplus3FB,16,16,16,8346.067,377,16,1,27,6215.477026254433,6008.066880709331,3977.4770262544357,2030.5898544548936,1885.0,373.0,80.0,0,0,B,16,37,0,"[{'channel': 7, 'point': [1133.4, 1589.7], 'min_dist_m': 1867.9, 'truth_success': False}, {'channel': 7, 'point': [1119.0, 427.0], 'min_dist_m': 2216.7, 'truth_success': False}, {'channel': 7, 'point': [1724.0, 938.8], 'min_dist_m': 2556.8, 'truth_success': False}]",,,,,0.20298229999025352
