scenario,model,seed,cases,all_cleared_rate,undiscovered_cases,undiscovered_sources,coverage_misses,exhausted_cases,exhausted_sources,failed_clears,anomalies,hard_fail_cases,mean_per_source,median_per_source,p90_per_source,p95_per_source,max_per_source,mean_total_per_source,mean_movement_per_source,mean_detect_switch_per_source,mean_clear_time_per_source,mean_last_discovery_per_source,mean_search_end_per_source,mean_search_movement_per_source,mean_not_ready_rate,mean_active_measurements_per_source,mean_co_measurements_per_source,mean_switches_per_source,mean_insertions_per_source,mean_decision_wall_s,mean_decomposition_error_s,mean_ci_low,mean_ci_high,bootstrap_mean
S3_systematic_bias,J,155921,200,1,0,0,0,0,0,0,0,0,298.0155636688936,295.71446153846153,358.28527272727274,375.6778,415.72650000000004,298.0155636688936,234.41675434274646,58.59880969030969,5.0,130.9504931207026,157.9969078109724,103.23478713997672,0.47070816683316685,2.8166246253746254,1.7652682525807526,9.424214285714285,0.5865376290376291,1.3223959565004042,0.00024583453192690287,,,
S3_systematic_bias,J+,pooled,600,1,0,0,0,0,0,0,0,0,295.3046422241994,291.8007692307692,356.7275,371.28200000000004,403.9183,295.3046422241994,235.00538686972197,55.29925577894328,5.0,120.94372578941139,149.60733615348335,98.39994818728286,0.45774923687423685,2.025219960594961,1.6430881826506827,8.940183566433566,0.0,0.18241066849906928,0.0002454598000796674,291.8258257968373,298.8917723246106,295.2988086514089
S3_systematic_bias,J+,104729,200,1,0,0,0,0,0,0,0,0,295.1555894143565,295.13792307692313,352.0565454545454,363.9945,393.99989999999997,295.1555894143565,234.9080695368739,55.24752247752248,5.0,118.19241177833587,149.33119299775973,98.15355655087328,0.45516893523143526,2.0212927697302696,1.6462581585081586,8.935091054778555,0.0,0.18361472749864333,0.00025500686656641845,,,
S3_systematic_bias,J+,130363,200,1,0,0,0,0,0,0,0,0,297.8348762721445,291.1415340909091,364.7572,380.6995,403.9183,297.8348762721445,236.28677890024807,56.54809636197136,5.0,124.37739135153922,152.7253578186202,100.22465818492056,0.4576627747252747,2.0300398143523144,1.6474660339660339,9.160858495670995,0.0,0.17985548699987702,0.00023854964931160794,,,
S3_systematic_bias,J+,155921,200,1,0,0,0,0,0,0,0,0,292.9234609860972,287.4231785714286,352.98,371.28200000000004,403.63800000000003,292.9234609860972,233.82131217204395,54.102148497335996,5.0,120.2613742383591,146.76545764407007,96.82162982605475,0.4604160006660007,2.024327297702298,1.6355403554778556,8.724601148851148,0.0,0.1837617909986875,0.00024282288436097588,,,
S4_clustered,I,pooled,600,1,0,0,0,0,0,0,0,0,224.03859152889473,220.91333333333336,285.11990909090906,295.19827272727275,364.6152,224.03859152889473,167.32011687751373,51.71847451853702,5.0,107.08841335682433,159.01714068925116,110.9423004392234,0.47321760878010877,2.4497621822621825,1.702024184149184,8.431690226440226,0.49688118825618827,0.9983345025003655,0.00024845310580398443,220.30184083273238,227.8611821906852,224.09726040298133
S4_clustered,I,104729,200,1,0,0,0,0,0,0,0,0,220.17402916294122,220.21658012820512,279.50345454545453,288.9497272727273,362.4062727272727,220.17402916294122,164.59098734646966,50.583043997668995,5.0,104.37814678097244,157.3773721700261,110.19891774944668,0.4773196803196803,2.4309910714285716,1.6799734848484849,8.247121482683983,0.5001186938061938,0.9857722830001149,0.0002470297152058265,,,
S4_clustered,I,130363,200,1,0,0,0,0,0,0,0,0,226.99479117388861,221.49175000000002,292.3718,310.884,364.6152,226.99479117388861,169.94527995303156,52.04951098901099,5.0,106.15180637774658,158.3594159929676,110.30266819909481,0.47487693556443555,2.4995227064602066,1.7466231060606061,8.481634074259075,0.4929614343989344,1.0172435169994423,0.00023411426749760266,,,
S4_clustered,I,155921,200,1,0,0,0,0,0,0,0,0,224.94695424985431,220.91065384615385,281.4931818181818,292.5273,318.9908,224.94695424985431,167.42408333303993,52.52286856893107,5.0,110.73528691175396,161.31463390475975,112.32531536912872,0.46745621045621044,2.4187727688977687,1.6794759615384616,8.566315122377622,0.49756343656343655,0.9919877075015393,0.00026421533470852407,,,
S4_clustered,J,pooled,600,1,0,0,0,0,0,0,0,0,216.68901217752386,211.9607476190476,274.7572727272727,291.94509090909094,345.66027272727274,216.68901217752386,156.07046398548366,55.618549686424686,5.0,89.17522432515491,152.32782371884664,100.2191064777544,0.4300127025752026,2.5694262751137753,1.8010577478077479,9.09694198856699,0.5143051948051948,1.1566544894996817,0.00024992301596607074,212.93470910063962,220.48303564733322,216.73694935184926
