case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
118,DG_k1_t0,16,16,16,8479.227,432,16,1,29,5043.464486865853,5825.227414443622,3165.4644868658534,2659.7629275777704,2160.0,414.0,80.0,0,0,C,184,144,C,3,0.4789055000001099
118,DG_k3_t0,16,16,16,8479.227,432,16,1,29,5043.464486865853,5825.227414443622,3165.4644868658534,2659.7629275777704,2160.0,414.0,80.0,0,0,C,184,144,C,7,0.49300340001354925
118,C3FDirect,16,16,16,8479.227,432,16,1,29,5043.464486865853,5825.227414443622,3165.4644868658534,2659.7629275777704,2160.0,414.0,80.0,0,0,C,184,144,,,0.40537449999828823
118,B,16,16,16,10094.601,497,16,1,27,6118.313109103303,7042.6011563257725,3974.3131091033038,3068.2880472224683,2485.0,487.0,80.0,0,,,,,,,0.6619993000058457
118,C,16,16,16,8774.917,465,16,1,29,5426.831512824207,5921.916899384206,3162.8315128242057,2759.0853865600016,2325.0,448.0,80.0,0,,,,,,,0.4812032000045292
119,Cplus3F,16,16,16,9533.803,497,16,1,27,5744.685714323947,6491.803014413155,3599.685714323949,2892.1173000892063,2485.0,477.0,80.0,0,0,B,0,0,,,0.8394357000070158
119,DG_k1_t0,16,16,16,9795.798,517,16,1,27,6006.680898304386,6633.798198393593,3741.680898304387,2892.1173000892063,2585.0,497.0,80.0,0,0,B,0,0,B,0,0.8924257000035141
119,DG_k3_t0,16,16,16,8669.996,401,16,1,29,5717.725167122288,6204.9960139548675,3565.725167122289,2639.27084683258,2005.0,380.0,80.0,0,0,C,187,84,C,3,0.3899239000165835
119,C3FDirect,16,16,16,8669.996,401,16,1,29,5717.725167122288,6204.9960139548675,3565.725167122289,2639.27084683258,2005.0,380.0,80.0,0,0,C,187,84,,,0.3384782999928575
119,B,16,16,16,9533.803,497,16,1,27,5744.685714323947,6491.803014413155,3599.685714323949,2892.1173000892063,2485.0,477.0,80.0,0,,,,,,,0.7618973000207916
119,C,16,16,16,9865.469,586,16,1,29,6322.723460413771,6281.469131258196,3482.72346041377,2798.745670844423,2930.0,574.0,80.0,0,,,,,,,0.6012879000045359
120,Cplus3F,16,16,16,9693.845,428,16,1,27,6166.664083173943,7073.845210487122,3968.6640831739446,3105.1811273131784,2140.0,400.0,80.0,0,0,B,0,0,,,0.34393080000882037
120,DG_k1_t0,16,16,16,7622.509,383,16,1,29,4750.383226252458,5256.508813548826,3017.383226252459,2239.125587296367,1915.0,371.0,80.0,0,0,C,249,115,C,1,0.43847599998116493
120,DG_k3_t0,16,16,16,7622.509,383,16,1,29,4750.383226252458,5256.508813548826,3017.383226252459,2239.125587296367,1915.0,371.0,80.0,0,0,C,249,115,C,5,0.6438875000167172
120,C3FDirect,16,16,16,7622.509,383,16,1,29,4750.383226252458,5256.508813548826,3017.383226252459,2239.125587296367,1915.0,371.0,80.0,0,0,C,249,115,,,0.5262151999922935
120,B,16,16,16,9693.845,428,16,1,27,6166.664083173943,7073.845210487122,3968.6640831739446,3105.1811273131784,2140.0,400.0,80.0,0,,,,,,,0.4877377000229899
120,C,16,16,16,8685.384,482,16,1,29,5127.0465265213,5722.383502007476,2983.0465265212983,2739.3369754861756,2410.0,473.0,80.0,0,,,,,,,0.5699997000047006
121,Cplus3F,16,16,16,6614.537,343,16,1,27,4161.11713463137,4487.536948432192,2564.1171346313713,1923.4198138008212,1715.0,332.0,80.0,0,0,B,0,0,,,0.3319177999801468
121,DG_k1_t0,16,16,16,6876.532,363,16,1,27,4423.112318611809,4629.532132412629,2706.112318611809,1923.4198138008212,1815.0,352.0,80.0,0,0,B,0,0,B,0,0.3279012000130024
121,DG_k3_t0,16,16,16,7758.64,400,16,1,29,5181.51368150739,5288.640153373393,3159.5136815073897,2129.1264718660036,2000.0,390.0,80.0,0,0,C,194,93,C,5,0.36191130001679994
121,C3FDirect,16,16,16,7758.64,400,16,1,29,5181.51368150739,5288.640153373393,3159.5136815073897,2129.1264718660036,2000.0,390.0,80.0,0,0,C,194,93,,,0.34258159997989424
121,B,16,16,16,6614.537,343,16,1,27,4161.11713463137,4487.536948432192,2564.1171346313713,1923.4198138008212,1715.0,332.0,80.0,0,,,,,,,0.3645165000052657
121,C,16,16,16,8615.073,497,16,1,29,5445.171741639772,5558.073130278643,3114.171741639772,2443.901388638868,2485.0,492.0,80.0,0,,,,,,,0.7070486000156961
122,Cplus3F,16,16,16,9525.233,485,16,1,27,6253.692136457638,6548.2328852116525,3804.6921364576397,2743.5407487540133,2425.0,472.0,80.0,0,0,B,0,0,,,0.5920258999976795
122,DG_k1_t0,16,16,16,7885.094,380,16,1,29,5557.621455078088,5538.0944924986425,3422.6214550780874,2115.473037420557,1900.0,367.0,80.0,0,0,C,164,63,C,1,0.39806659999885596
122,DG_k3_t0,16,16,16,7885.094,380,16,1,29,5557.621455078088,5538.0944924986425,3422.6214550780874,2115.473037420557,1900.0,367.0,80.0,0,0,C,164,63,C,2,0.45529630000237375
122,C3FDirect,16,16,16,7885.094,380,16,1,29,5557.621455078088,5538.0944924986425,3422.6214550780874,2115.473037420557,1900.0,367.0,80.0,0,0,C,164,63,,,0.36993009998695925
122,B,16,16,16,9525.233,485,16,1,27,6253.692136457638,6548.2328852116525,3804.6921364576397,2743.5407487540133,2425.0,472.0,80.0,0,,,,,,,0.5082015999942087
122,C,16,16,16,9087.957,417,16,1,29,5577.645453016485,6530.956953108863,3348.645453016483,3182.3115000923817,2085.0,392.0,80.0,0,,,,,,,0.7132140999892727
123,Cplus3F,16,16,16,9178.523,491,16,1,27,5198.850218047617,6164.523073714475,3191.850218047619,2972.6728556668563,2455.0,479.0,80.0,0,0,B,0,0,,,0.7453389000147581
123,DG_k1_t0,16,16,16,9440.518,511,16,1,27,5460.845402028056,6306.518257694912,3333.845402028057,2972.6728556668563,2555.0,499.0,80.0,0,0,B,0,0,B,0,0.6457813000015449
123,DG_k3_t0,16,16,16,7565.593,358,16,1,29,3846.350698587667,5347.593062770159,2433.350698587667,2914.2423641824926,1790.0,348.0,80.0,0,0,C,263,123,C,4,0.5870411999931093
123,C3FDirect,16,16,16,7565.593,358,16,1,29,3846.350698587667,5347.593062770159,2433.350698587667,2914.2423641824926,1790.0,348.0,80.0,0,0,C,263,123,,,0.5372235999966506
123,B,16,16,16,9178.523,491,16,1,27,5198.850218047617,6164.523073714475,3191.850218047619,2972.6728556668563,2455.0,479.0,80.0,0,,,,,,,0.7280559999926481
123,C,16,16,16,9525.936,567,16,1,29,4384.613712990943,6059.936370036158,2364.613712990943,3695.3226570452157,2835.0,551.0,80.0,0,,,,,,,0.7843008999770973
124,Cplus3F,16,16,16,7779.005,344,16,1,27,5622.9756632485505,5644.004886921861,3658.975663248552,1985.0292236733085,1720.0,335.0,80.0,0,0,B,0,0,,,0.15137530001811683
124,DG_k1_t0,16,16,16,8041.0,364,16,1,27,5884.9708472289885,5786.000070902299,3800.97084722899,1985.0292236733085,1820.0,355.0,80.0,0,0,B,0,0,B,0,0.21714230001089163
124,DG_k3_t0,16,16,16,8274.979,376,16,1,29,5570.018148031425,5951.979317736552,3477.018148031425,2474.961169705129,1880.0,363.0,80.0,0,0,C,205,70,C,5,0.4565062999899965
124,C3FDirect,16,16,16,8274.979,376,16,1,29,5570.018148031425,5951.979317736552,3477.018148031425,2474.961169705129,1880.0,363.0,80.0,0,0,C,205,70,,,0.3736549999739509
124,B,16,16,16,7779.005,344,16,1,27,5622.9756632485505,5644.004886921861,3658.975663248552,1985.0292236733085,1720.0,335.0,80.0,0,,,,,,,0.15577150002354756
124,C,16,16,16,9330.0,450,16,1,29,5958.57102032708,6566.9995809502625,3464.5710203270787,3102.4285606231856,2250.0,433.0,80.0,0,,,,,,,0.5305880000232719
125,Cplus3F,16,16,16,9258.955,421,16,1,27,6332.475089521048,6656.954553286729,4154.475089521051,2502.4794637656782,2105.0,417.0,80.0,0,0,B,0,0,,,0.3946853000088595
125,DG_k1_t0,16,16,16,9520.95,441,16,1,27,6594.470273501487,6798.949737267166,4296.470273501488,2502.4794637656782,2205.0,437.0,80.0,0,0,B,0,0,B,0,0.3723323000012897
125,DG_k3_t0,16,16,16,10009.864,463,16,1,29,5620.0989719277495,7180.863693344745,3362.098971927749,3818.764721417,2315.0,434.0,80.0,0,0,C,297,103,C,2,0.5284606000059284
125,C3FDirect,16,16,16,10009.864,463,16,1,29,5620.0989719277495,7180.863693344745,3362.098971927749,3818.764721417,2315.0,434.0,80.0,0,0,C,297,103,,,0.48070370001369156
125,B,16,16,16,9258.955,421,16,1,27,6332.475089521048,6656.954553286729,4154.475089521051,2502.4794637656782,2105.0,417.0,80.0,0,,,,,,,0.3415478999959305
125,C,16,16,16,10655.002,490,16,1,29,5729.425718496457,7666.0019352872305,3354.425718496456,4311.57621679078,2450.0,459.0,80.0,0,,,,,,,0.7697120000084396
126,Cplus3F,16,16,16,9946.452,473,16,1,27,5754.944821041597,7040.452138429699,3745.9448210415985,3294.507317388101,2365.0,461.0,80.0,0,0,B,0,0,,,0.5585190999845508
126,DG_k1_t0,16,16,16,10213.687,450,16,1,29,5634.893747724172,7450.686630223185,3548.8937477241707,3901.7928824990177,2250.0,433.0,80.0,0,0,C,247,123,C,3,0.7269510999904014
126,DG_k3_t0,16,16,16,10213.687,450,16,1,29,5634.893747724172,7450.686630223185,3548.8937477241707,3901.7928824990177,2250.0,433.0,80.0,0,0,C,247,123,C,6,0.7356951000110712
126,C3FDirect,16,16,16,10213.687,450,16,1,29,5634.893747724172,7450.686630223185,3548.8937477241707,3901.7928824990177,2250.0,433.0,80.0,0,0,C,247,123,,,0.7904554999840911
126,B,16,16,16,9946.452,473,16,1,27,5754.944821041597,7040.452138429699,3745.9448210415985,3294.507317388101,2365.0,461.0,80.0,0,,,,,,,0.5280636000097729
126,C,16,16,16,10138.5,562,16,1,29,6030.722202490583,6697.499501599384,3477.7222024905823,3219.777299108801,2810.0,551.0,80.0,0,,,,,,,1.2107355000043754
127,Cplus3F,16,16,16,7448.021,355,16,1,27,5538.805999611162,5248.021441867979,3546.805999611163,1701.2154422568165,1775.0,345.0,80.0,0,0,B,0,0,,,0.3179856000060681
127,DG_k1_t0,16,16,16,7936.755,340,16,1,29,5117.682464521075,5844.755252595824,3320.6824645210754,2524.0727880747495,1700.0,312.0,80.0,0,0,C,143,73,C,2,0.2486798999889288
127,DG_k3_t0,16,16,16,7936.755,340,16,1,29,5117.682464521075,5844.755252595824,3320.6824645210754,2524.0727880747495,1700.0,312.0,80.0,0,0,C,143,73,C,5,0.3213497999822721
127,C3FDirect,16,16,16,7936.755,340,16,1,29,5117.682464521075,5844.755252595824,3320.6824645210754,2524.0727880747495,1700.0,312.0,80.0,0,0,C,143,73,,,0.24173480001627468
127,B,16,16,16,7448.021,355,16,1,27,5538.805999611162,5248.021441867979,3546.805999611163,1701.2154422568165,1775.0,345.0,80.0,0,,,,,,,0.300540899974294
127,C,16,16,16,9703.836,435,16,1,29,5357.148689371649,7040.836450035251,3319.1486893716487,3721.6877606636035,2175.0,408.0,80.0,0,,,,,,,0.5777889000019059
128,Cplus3F,16,16,16,8316.125,374,16,1,27,5916.501021105426,6005.124983820214,3801.5010211054287,2203.6239627147825,1870.0,361.0,80.0,0,0,B,0,0,,,0.3805556000152137
128,DG_k1_t0,16,16,16,7930.94,382,16,1,29,5255.930278666609,5569.9396645644265,3317.9302786666094,2252.00938589782,1910.0,371.0,80.0,0,0,C,184,101,C,2,0.6107199999969453
128,DG_k3_t0,16,16,16,7930.94,382,16,1,29,5255.930278666609,5569.9396645644265,3317.9302786666094,2252.00938589782,1910.0,371.0,80.0,0,0,C,184,101,C,7,0.6322233999962918
128,C3FDirect,16,16,16,7930.94,382,16,1,29,5255.930278666609,5569.9396645644265,3317.9302786666094,2252.00938589782,1910.0,371.0,80.0,0,0,C,184,101,,,0.6087658999895211
128,B,16,16,16,8316.125,374,16,1,27,5916.501021105426,6005.124983820214,3801.5010211054287,2203.6239627147825,1870.0,361.0,80.0,0,,,,,,,0.37859279999975115
128,C,16,16,16,8754.831,496,16,1,29,5678.826229472688,5711.830785153366,3293.826229472688,2418.0045556806817,2480.0,483.0,80.0,0,,,,,,,0.8701889000076335
129,Cplus3F,16,16,16,9290.543,449,16,1,27,5969.69402521251,6522.543423293018,3832.6940252125114,2689.849398080508,2245.0,443.0,80.0,0,0,B,0,0,,,0.392655100004049
129,DG_k1_t0,16,16,16,9552.539,469,16,1,27,6231.6892091929485,6664.538607273456,3974.6892091929494,2689.849398080508,2345.0,463.0,80.0,0,0,B,0,0,B,0,0.4044809000042733
129,DG_k3_t0,16,16,16,7307.89,336,16,1,29,5303.783069804349,5222.890309838556,3343.7830698043504,1879.107240034206,1680.0,325.0,80.0,0,0,C,150,66,C,4,0.23212949998560362
129,C3FDirect,16,16,16,7307.89,336,16,1,29,5303.783069804349,5222.890309838556,3343.7830698043504,1879.107240034206,1680.0,325.0,80.0,0,0,C,150,66,,,0.18592440002248622
129,B,16,16,16,9290.543,449,16,1,27,5969.69402521251,6522.543423293018,3832.6940252125114,2689.849398080508,2245.0,443.0,80.0,0,,,,,,,0.5293990999925882
129,C,16,16,16,8306.805,404,16,1,29,5597.6962958007725,5815.8051998370565,3302.696295800771,2513.108904036283,2020.0,391.0,80.0,0,,,,,,,0.4127024000044912
130,Cplus3F,16,16,16,8689.588,455,16,1,27,6170.2137276901485,5892.587788805764,3793.2137276901503,2099.3740611156154,2275.0,442.0,80.0,0,0,B,0,0,,,0.5477912000205833
130,DG_k1_t0,16,16,16,8951.583,475,16,1,27,6432.208911670587,6034.582972786202,3935.2089116705883,2099.3740611156154,2375.0,462.0,80.0,0,0,B,0,0,B,0,0.44133799997507595
130,DG_k3_t0,16,16,16,7792.807,363,16,1,29,5252.278021614344,5547.806504728847,3331.278021614343,2216.528483114506,1815.0,350.0,80.0,0,0,C,220,88,C,1,0.3249890999868512
130,C3FDirect,16,16,16,7792.807,363,16,1,29,5252.278021614344,5547.806504728847,3331.278021614343,2216.528483114506,1815.0,350.0,80.0,0,0,C,220,88,,,0.42210070000146516
130,B,16,16,16,8689.588,455,16,1,27,6170.2137276901485,5892.587788805764,3793.2137276901503,2099.3740611156154,2275.0,442.0,80.0,0,,,,,,,0.5077102000068408
130,C,16,16,16,9686.71,540,16,1,29,5972.551058281917,6390.709604617173,3279.5510582819156,3111.158546335259,2700.0,516.0,80.0,0,,,,,,,1.0591683999809902
131,Cplus3F,16,16,16,9074.648,458,16,1,27,6341.664114369209,6257.6481119162845,3963.664114369212,2293.9839975470745,2290.0,447.0,80.0,0,0,B,0,0,,,0.4991794999805279
131,DG_k1_t0,16,16,16,9336.643,478,16,1,27,6603.659298349648,6399.6432958967225,4105.659298349649,2293.9839975470745,2390.0,467.0,80.0,0,0,B,0,0,B,0,0.599662199994782
131,DG_k3_t0,16,16,16,8367.387,368,16,1,29,5109.026956787599,6114.387260802306,3199.0269567875985,2915.360304014705,1840.0,333.0,80.0,0,0,C,276,66,C,4,0.5314022999955341
