case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
54,C3FDirect,16,16,16,12224.282,679,16,1,29,6314.172670645298,8098.281660731391,3746.1726706452964,4352.108990086096,3395.0,651.0,80.0,0,0,C,385,216,,,0.6782870000170078
54,B,16,16,16,8591.215,410,16,1,27,6054.816049023318,6059.214937997188,3816.8160490233167,2242.398888973871,2050.0,402.0,80.0,0,,,,,,,0.4256788000056986
54,C,16,16,16,13252.264,824,16,1,29,6651.417409781564,8241.263733162203,3697.417409781563,4543.846323380641,4120.0,811.0,80.0,0,,,,,,,0.9495678000093903
55,Cplus3F,16,16,16,10270.399,571,16,1,27,6710.195404559414,6773.399453534502,3996.1954045594166,2777.2040489750852,2855.0,562.0,80.0,0,0,B,0,0,,,0.516913100000238
55,DG_k1_t0,16,16,16,10532.395,591,16,1,27,6972.190588539853,6915.394637514939,4138.190588539854,2777.2040489750852,2955.0,582.0,80.0,0,0,B,0,0,B,0,0.4742977000132669
55,DG_k3_t0,16,16,16,11200.382,611,16,1,29,6055.334268945847,7475.381848963725,3635.3342689458445,3840.0475800178847,3055.0,590.0,80.0,0,0,C,471,200,C,1,0.5821180999919306
55,C3FDirect,16,16,16,11200.382,611,16,1,29,6055.334268945847,7475.381848963725,3635.3342689458445,3840.0475800178847,3055.0,590.0,80.0,0,0,C,471,200,,,0.6901792999997269
55,B,16,16,16,10270.399,571,16,1,27,6710.195404559414,6773.399453534502,3996.1954045594166,2777.2040489750852,2855.0,562.0,80.0,0,,,,,,,0.6095140000106767
55,C,16,16,16,13736.316,963,16,1,29,6577.456653223265,7879.3155148549795,3635.4566532232634,4243.85886163172,4815.0,962.0,80.0,0,,,,,,,0.673513699992327
56,Cplus3F,16,16,16,9205.933,399,16,1,27,5962.773545024143,6750.93323876886,3807.7735450241453,2943.1596937447166,1995.0,380.0,80.0,0,0,B,0,0,,,0.48926549998577684
56,DG_k1_t0,16,16,16,9467.928,419,16,1,27,6224.7687290045815,6892.928422749298,3949.7687290045824,2943.1596937447166,2095.0,400.0,80.0,0,0,B,0,0,B,0,0.46976700000232086
56,DG_k3_t0,16,16,16,10460.003,558,16,1,29,5905.445608697741,7045.003495110153,3474.44560869774,3570.5578864124154,2790.0,545.0,80.0,0,0,C,426,159,C,1,0.5988211999938358
56,C3FDirect,16,16,16,10460.003,558,16,1,29,5905.445608697741,7045.003495110153,3474.44560869774,3570.5578864124154,2790.0,545.0,80.0,0,0,C,426,159,,,0.6606939000193961
56,B,16,16,16,9205.933,399,16,1,27,5962.773545024143,6750.93323876886,3807.7735450241453,2943.1596937447166,1995.0,380.0,80.0,0,,,,,,,0.48851910000666976
56,C,16,16,16,11305.527,586,16,1,29,6196.1979650751955,7731.527310816752,3510.197965075193,4221.329345741562,2930.0,564.0,80.0,0,,,,,,,0.6786866000038572
57,Cplus3F,16,16,16,9015.299,389,16,1,27,5735.978238986936,6614.298740968391,3794.978238986938,2819.320501981453,1945.0,376.0,80.0,0,0,B,0,0,,,0.5462617999874055
57,DG_k1_t0,16,16,16,9778.359,531,16,1,29,5452.894477820705,6531.358849483382,3117.8944778207056,3413.4643716626783,2655.0,512.0,80.0,0,0,C,279,145,C,1,0.530491500016069
57,DG_k3_t0,16,16,16,9778.359,531,16,1,29,5452.894477820705,6531.358849483382,3117.8944778207056,3413.4643716626783,2655.0,512.0,80.0,0,0,C,279,145,C,4,0.5024183999921661
57,C3FDirect,16,16,16,9778.359,531,16,1,29,5452.894477820705,6531.358849483382,3117.8944778207056,3413.4643716626783,2655.0,512.0,80.0,0,0,C,279,145,,,0.3673676000034902
57,B,16,16,16,9015.299,389,16,1,27,5735.978238986936,6614.298740968391,3794.978238986938,2819.320501981453,1945.0,376.0,80.0,0,,,,,,,0.554619599977741
57,C,16,16,16,10687.578,670,16,1,29,5741.1967097341185,6596.577690197009,3116.196709734118,3480.3809804628936,3350.0,661.0,80.0,0,,,,,,,0.5756594999984372
58,Cplus3F,16,16,16,9359.467,446,16,1,27,5958.127703798721,6615.466704160442,3814.127703798723,2801.3390003617187,2230.0,434.0,80.0,0,0,B,0,0,,,0.4545611000212375
58,DG_k1_t0,16,16,16,9123.284,489,16,1,29,5555.900374166795,6131.283529677657,3376.900374166793,2754.383155510864,2445.0,467.0,80.0,0,0,C,311,138,C,1,0.5136417000030633
58,DG_k3_t0,16,16,16,9123.284,489,16,1,29,5555.900374166795,6131.283529677657,3376.900374166793,2754.383155510864,2445.0,467.0,80.0,0,0,C,311,138,C,2,0.7664136000094004
58,C3FDirect,16,16,16,9123.284,489,16,1,29,5555.900374166795,6131.283529677657,3376.900374166793,2754.383155510864,2445.0,467.0,80.0,0,0,C,311,138,,,0.5625462000025436
58,B,16,16,16,9359.467,446,16,1,27,5958.127703798721,6615.466704160442,3814.127703798723,2801.3390003617187,2230.0,434.0,80.0,0,,,,,,,0.46182100000442006
58,C,16,16,16,10766.092,691,16,1,29,6058.357787285332,6568.09233778794,3324.357787285331,3243.7345505026087,3455.0,663.0,80.0,0,,,,,,,0.805351300019538
59,Cplus3F,16,16,16,9594.174,499,16,1,27,6307.929132708327,6538.173871769747,3954.9291327083283,2583.2447390614198,2495.0,481.0,80.0,0,0,B,0,0,,,0.5813487999839708
59,DG_k1_t0,16,16,16,9856.169,519,16,1,27,6569.924316688766,6680.169055750183,4096.924316688765,2583.2447390614198,2595.0,501.0,80.0,0,0,B,0,0,B,0,0.6557604999979958
59,DG_k3_t0,16,16,16,11492.896,629,16,1,29,5944.589985927943,7647.896070062288,3525.5899859279434,4122.3060841343495,3145.0,620.0,80.0,0,0,C,381,216,C,1,0.34232960001099855
59,C3FDirect,16,16,16,11492.896,629,16,1,29,5944.589985927943,7647.896070062288,3525.5899859279434,4122.3060841343495,3145.0,620.0,80.0,0,0,C,381,216,,,0.591210200014757
59,B,16,16,16,9594.174,499,16,1,27,6307.929132708327,6538.173871769747,3954.9291327083283,2583.2447390614198,2495.0,481.0,80.0,0,,,,,,,0.6377003000234254
59,C,16,16,16,12726.681,835,16,1,29,6539.183144520731,7647.680943098733,3526.183144520729,4121.497798578009,4175.0,824.0,80.0,0,,,,,,,0.551839599997038
60,Cplus3F,16,16,16,7203.331,320,16,1,27,4465.056812105156,5214.331471826849,2891.0568121051574,2323.274659721689,1600.0,309.0,80.0,0,0,B,0,0,,,0.632732500002021
60,DG_k1_t0,16,16,16,8920.157,492,16,1,29,6044.807544520167,5903.157185976712,3529.807544520166,2373.3496414565457,2460.0,477.0,80.0,0,0,C,250,94,C,1,0.447316600009799
