case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
20,Route31,15,15,15,10547.611,296,15,1,31,7700.268960314259,8715.611445268343,6117.268960314259,2598.342484954086,1480.0,277.0,75.0,0,0.6350508999894373
20,ClippedRoute,15,15,15,10547.611,296,15,1,31,7700.268960314259,8715.611445268343,6117.268960314259,2598.342484954086,1480.0,277.0,75.0,0,0.5982767999812495
21,L950_C2,12,12,12,10173.846,339,12,1,31,8374.448267190432,8081.846400921021,6395.448267190432,1686.3981337305893,1695.0,337.0,60.0,0,0.1846201000153087
21,Route31,12,12,12,10547.969,360,12,1,31,8150.268960314259,8341.96937128714,6117.268960314259,2224.700410972886,1800.0,346.0,60.0,0,0.2897516000084579
21,ClippedRoute,12,12,12,10547.969,360,12,1,31,8150.268960314259,8341.96937128714,6117.268960314259,2224.700410972886,1800.0,346.0,60.0,0,0.37177820000215434
22,L950_C2,10,10,10,11251.389,425,10,1,31,8794.448267190432,8669.389000973286,6395.448267190432,2273.9407337828497,2125.0,407.0,50.0,0,0.5707085999893025
22,Route31,10,10,10,11094.585,446,10,1,31,8624.268960314259,8387.584677137154,6117.268960314259,2270.315716822895,2230.0,427.0,50.0,0,0.5818715000059456
22,ClippedRoute,10,10,10,11094.585,446,10,1,31,8624.268960314259,8387.584677137154,6117.268960314259,2270.315716822895,2230.0,427.0,50.0,0,0.6859415000071749
23,L950_C2,13,13,13,10422.546,341,13,1,31,8338.448267190432,8318.545633540489,6395.448267190432,1923.0973663500577,1705.0,334.0,65.0,0,0.4808564000122715
23,Route31,13,13,13,10415.045,382,13,1,31,8312.268960314259,8065.044686098523,6117.268960314259,1947.7757257842645,1910.0,375.0,65.0,0,0.4529947999981232
23,ClippedRoute,13,13,13,10415.045,382,13,1,31,8312.268960314259,8065.044686098523,6117.268960314259,1947.7757257842645,1910.0,375.0,65.0,0,0.4517753000254743
24,L950_C2,15,15,15,10995.091,277,15,1,31,7864.448267190432,9278.090658996827,6395.448267190432,2882.6423918064015,1385.0,257.0,75.0,0,0.8463962000096217
24,Route31,15,15,15,10935.469,319,15,1,31,7851.999594359021,8966.469456422625,6119.99959435902,2846.469862063611,1595.0,299.0,75.0,0,0.80932989998837
24,ClippedRoute,15,15,15,10935.469,319,15,1,31,7851.999594359021,8966.469456422625,6119.99959435902,2846.469862063611,1595.0,299.0,75.0,0,0.8082235000038054
25,L950_C2,12,12,12,10337.338,359,12,1,31,8493.093038844716,8127.338033297485,6396.093038844716,1731.2449944527687,1795.0,355.0,60.0,0,0.2987674000032712
25,Route31,12,12,12,10403.609,399,12,1,31,8413.435283296136,7960.609442385265,6119.435283296136,1841.1741590891293,1995.0,388.0,60.0,0,0.47969509998802096
25,ClippedRoute,12,12,12,10403.609,399,12,1,31,8413.435283296136,7960.609442385265,6119.435283296136,1841.1741590891293,1995.0,388.0,60.0,0,0.4768639000249095
26,L950_C2,14,14,14,10404.458,309,14,1,31,8116.448267190432,8492.45771222077,6395.448267190432,2097.0094450303422,1545.0,297.0,70.0,0,0.5625704000121914
