case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,wall_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions
50,rand1800,12,12,12,7588.525,346,12,1,25,5762.644274496777,0.2411281999957282,5456.525156085368,3765.644274496778,1690.8808815885927,1730.0,342.0,60.0,0
51,rand1800,12,12,12,8380.452,363,12,1,25,5822.644274496778,0.2592153000005055,6152.452283946348,3765.644274496778,2386.8080094495726,1815.0,353.0,60.0,0
52,rand1800,12,12,12,9297.504,393,12,1,25,5726.644274496778,0.2757653000007849,6894.504458463073,3765.644274496778,3128.860183966294,1965.0,378.0,60.0,0
53,rand1800,12,12,12,8365.425,338,12,1,25,5678.644274496778,0.2861147999938112,6287.425036927997,3765.644274496778,2521.780762431219,1690.0,328.0,60.0,0
54,rand1800,12,12,12,7374.742,284,12,1,25,5354.644274496778,0.3654374000034295,5619.74163870925,3765.644274496778,1854.0973642124693,1420.0,275.0,60.0,0
55,rand1800,12,12,12,8556.259,391,12,1,25,5846.644274496777,0.423300599999493,6169.259193906562,3765.644274496778,2403.6149194097875,1955.0,372.0,60.0,0
56,rand1800,12,12,12,8584.079,383,12,1,25,5816.644274496777,0.39063869998790324,6242.079357815791,3765.644274496778,2476.435083319017,1915.0,367.0,60.0,0
57,rand1800,12,12,12,7734.459,343,12,1,25,5720.644274496778,0.27491980002378114,5623.459063427625,3765.644274496778,1857.8147889308452,1715.0,336.0,60.0,0
58,rand1800,12,12,12,7735.65,366,12,1,25,5934.162451240097,0.20536590000847355,5484.650157755741,3795.162451240098,1689.487706515643,1830.0,361.0,60.0,0
59,rand1800,12,12,12,8430.906,331,12,1,25,5618.644274496778,0.32330970000475645,6397.906030528742,3765.644274496778,2632.261756031966,1655.0,318.0,60.0,0
