case,strategy,source_count,cleared_channels,all_cleared,total_virtual_time_s,search_end_time_s,measure_total,measure_search,measure_post,measure_search_no_signal,measure_post_no_signal,measure_post_direction,clear_total,clear_post_success,clear_post_fail,stations_search,stations_post,distance_m,distance_post_m,wall_time_s
71,B,11,11,1,9999.909,6402.066971645872,435,386,49,364,39,10,11,10,0,28,59,36884.54454576684,16474.209687537466,0.8242448999953922
71,C,11,11,1,8377.711,6058.511496676898,421,402,19,380,6,13,11,10,0,30,29,29033.555198403807,10820.997715019326,0.4339501000067685
72,B,11,11,1,7812.813,6074.86113601983,334,323,11,301,4,7,11,7,0,31,18,28794.067094041242,8204.761413942091,0.3177774000214413
72,C,11,11,1,9022.104,6226.62401029153,484,432,52,412,43,9,11,10,0,30,34,30385.522403090876,12232.402351633235,0.4844026000064332
73,B,16,16,1,6711.459,4365.6576574546225,272,253,19,222,6,13,16,15,0,20,34,25042.29460907699,10824.006321803876,0.5012320000096224
73,C,16,16,1,9112.817,5738.955499181741,457,377,80,347,66,14,16,14,0,30,55,31569.085337256398,14229.3078413477,0.7585875999939162
74,B,12,12,1,9246.616,6164.672757449098,377,344,33,320,21,12,12,11,0,28,44,34748.08191599611,14264.718128750628,0.6585006999957841
74,C,12,12,1,8870.295,6082.526432326396,460,409,51,386,40,11,12,12,0,29,37,30341.47722764961,12193.845066017635,0.4339961000077892
75,B,13,13,1,8912.697,6443.822551558955,415,387,28,361,16,12,13,11,0,29,39,31883.48693565675,11319.374177861986,0.6608308000140823
75,C,13,13,1,8858.114,5671.497385239962,385,339,46,314,31,15,13,12,0,30,39,32540.57107208673,14373.08414588693,0.4694346000032965
76,B,15,15,1,9154.252,5971.048951314662,320,304,16,274,1,15,15,12,0,30,28,35836.257826055546,15171.013069482242,0.3165588999981992
76,C,15,15,1,10631.477,5774.217398787553,549,354,195,329,181,14,15,14,0,30,75,36412.38354666594,18181.296552728167,1.0604441000032239
77,B,10,10,1,9077.777,6686.39815093803,475,433,42,414,33,9,10,9,0,28,30,30958.885729531972,10536.894974841824,0.5034022000036202
77,C,10,10,1,9477.167,6217.755697441941,497,430,67,412,58,9,10,9,0,30,41,32320.835968567946,14152.057481358246,0.2587790999969002
78,B,14,14,1,8928.622,6429.041732798142,399,384,15,356,8,7,14,12,0,29,27,32368.111957472618,11787.903293481906,0.36093259998597205
78,C,14,14,1,8716.872,5776.5264323263955,390,358,32,331,17,15,14,14,0,29,44,31634.35987369863,13486.727712066655,0.5967108999902848
79,B,15,15,1,8473.994,5958.036797147044,320,304,16,274,5,11,15,12,0,30,28,32439.970949324084,11839.786963588864,0.44619869999587536
79,C,15,15,1,9775.092,5910.186575405114,434,377,57,348,39,18,15,13,0,31,40,35590.4575194475,17394.52464242193,0.4297229000076186
80,B,14,14,1,7729.228,6098.1407458681215,330,317,13,289,1,12,14,10,0,31,23,28421.13783618773,7535.4341068471185,0.3138609000016004
80,C,14,14,1,8037.623,5722.917178909349,376,345,31,317,20,11,14,11,0,32,42,28668.1149549771,10473.529060430357,0.863112099992577
81,B,14,14,1,8711.881,5994.628591782901,326,313,13,285,3,10,14,12,0,29,25,33454.40276593839,12916.259807023876,0.25743189998320304
81,C,14,14,1,9949.183,5932.526432326396,513,384,129,359,114,14,14,14,0,29,61,34095.9172233276,15948.285061695622,0.689691599982325
82,B,10,10,1,8948.106,6498.052857202225,437,401,36,381,26,10,10,9,0,28,45,31525.529167986675,11085.26488197556,0.7228021000046283
82,C,10,10,1,8917.115,6370.526432326396,501,457,44,438,33,11,10,10,0,29,33,29410.57431237128,11262.942150739298,0.3493714999931399
83,B,13,13,1,8970.022,6227.001736043411,372,352,20,326,10,10,13,12,0,28,32,33420.110239299625,12865.101559082565,0.5979270999960136
83,C,13,13,1,9936.993,6010.494779663703,480,392,88,369,77,11,13,11,0,31,43,35034.96657900945,16787.492680690935,0.4172981999872718
84,B,10,10,1,8853.254,6504.8719793931805,425,404,21,384,11,10,10,10,0,27,31,31326.268758086393,10916.908861120492,0.5362270000041462
84,C,10,10,1,8649.939,6310.333083150146,458,446,12,426,1,11,10,9,0,30,21,29279.69686784971,11128.031452098992,0.27522499999031425
