case,strategy,source_count,cleared_channels,all_cleared,total_virtual_time_s,search_end_time_s,measure_total,measure_search,measure_post,measure_search_no_signal,measure_post_no_signal,measure_post_direction,clear_total,clear_post_success,clear_post_fail,stations_search,stations_post,distance_m,distance_post_m,wall_time_s
87,B,16,16,1,9379.285,6333.044407687959,436,394,42,365,33,8,16,13,0,29,41,33556.42443409843,13781.202395658627,0.4196106000163127
87,C,16,16,1,15846.078,6770.0938162664725,1232,516,716,495,700,16,16,13,0,32,114,41995.38894390471,23694.919862572337,1.0819863000069745
88,B,16,16,1,7305.391,4510.748577602301,333,273,60,243,50,10,16,12,0,23,42,26251.95397226181,11983.211084250286,0.5992186999937985
88,C,16,16,1,9064.539,6513.3803232747205,510,465,45,436,32,13,16,14,0,31,45,29747.693581562777,11175.791965189159,0.6049797000014223
89,B,16,16,1,10450.231,6336.084402773641,530,408,122,380,114,7,16,11,0,30,54,36056.15370766322,16735.73169379501,0.4664078000059817
89,C,16,16,1,12844.85,6975.5802370686215,931,553,378,533,362,16,16,13,0,32,71,35914.24831661623,17696.347131273098,0.5110262999951374
90,B,16,16,1,10378.516,6341.467306010577,551,395,156,367,143,13,16,14,0,28,56,34977.58092860909,15165.244398556204,0.6598429000005126
90,C,16,16,1,12737.308,5117.018030854492,1040,390,650,369,628,22,16,16,0,22,94,32116.539544632684,18226.449390360212,1.3249774999858346
91,B,16,16,1,8829.934,6142.516520036281,463,402,61,375,50,11,16,11,0,29,34,29909.671076495226,11377.088476313802,0.48328790001687594
91,C,16,16,1,16049.618,6745.614942891045,1240,516,724,494,705,19,16,15,0,30,124,42698.0884729934,24470.013758538164,1.3061961999919731
92,B,16,16,1,8608.165,5693.988646037243,372,324,48,295,36,12,16,15,0,26,35,31505.82738845802,12775.884158271796,0.4342684000148438
92,C,16,16,1,11002.581,5906.551058281917,682,438,244,414,224,20,16,16,0,26,74,34252.90443751063,17855.14914610105,0.7982305999903474
93,B,16,16,1,10359.86,6341.786530328919,528,389,139,361,128,11,16,11,0,31,55,35599.298632102684,15680.3659804581,0.5284845999849495
93,C,16,16,1,12613.605,6419.264168310972,945,490,455,468,439,16,16,13,0,31,76,34358.024731776226,17031.70389022138,0.6383358999737538
94,B,16,16,1,8606.393,5794.346189749533,384,354,30,325,18,12,16,12,0,28,36,31196.96428289004,12940.233334142365,0.4083866000000853
94,C,16,16,1,12683.906,6485.391778798239,803,475,328,450,310,18,16,15,0,30,82,38974.52940923921,20817.570515248,0.9669911999953911
95,B,16,16,1,9980.342,6107.168745282109,480,360,120,331,111,9,16,14,0,28,63,35191.70813218717,15500.864405776607,0.6794626000046264
95,C,16,16,1,13568.099,6719.879922449161,899,511,388,488,370,17,16,14,0,31,87,40535.49520081206,22311.09558856625,0.8231787000258919
96,B,16,16,1,9125.579,5954.55946232143,468,364,104,337,92,12,16,14,0,27,50,31282.895202103522,12475.09789049636,0.6093514000240248
96,C,16,16,1,12255.887,6296.091345121553,844,461,383,436,367,16,16,15,0,29,93,35574.4353748008,17943.978649193054,0.9554434999881778
