case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
17,C3FDirect,16,16,16,10709.515,548,16,1,29,5594.33418040193,7364.5150533998685,3295.3341804019306,4069.180872997935,2740.0,525.0,80.0,0,0,C,471,167,0.38662000000476837
17,B,16,16,16,9042.781,429,16,1,27,5971.890092408031,6410.781351672816,3754.890092408032,2655.8912592647894,2145.0,407.0,80.0,0,,,,,0.34444760001497343
17,C,16,16,16,12813.904,893,16,1,29,6098.312881615962,7377.903991465361,3293.312881615962,4084.5911098493984,4465.0,891.0,80.0,0,,,,,0.5070519000000786
18,Cplus3F,16,16,16,9208.425,422,16,1,27,6050.891969067132,6617.425070487495,3804.891969067134,2812.533101420357,2110.0,401.0,80.0,0,0,B,0,0,0.4761199999775272
18,C3FDirect,16,16,16,10228.591,548,16,1,29,5115.208251233833,6883.59050096687,2945.2082512338316,3938.3822497330407,2740.0,525.0,80.0,0,0,C,377,164,0.4810394000087399
18,B,16,16,16,9208.425,422,16,1,27,6050.891969067132,6617.425070487495,3804.891969067134,2812.533101420357,2110.0,401.0,80.0,0,,,,,0.530448500008788
18,C,16,16,16,11890.977,774,16,1,29,5463.369788528069,7174.976788353989,2944.3697885280676,4230.606999825924,3870.0,766.0,80.0,0,,,,,0.5690093000011984
19,Cplus3F,16,16,16,8779.613,391,16,1,27,5919.186998749318,6381.612956506739,3849.186998749319,2532.4259577574207,1955.0,363.0,80.0,0,0,B,0,0,0.31589870000607334
19,C3FDirect,16,16,16,11098.947,614,16,1,29,6374.693193041334,7349.946514719784,3667.6931930413325,3682.2533216784514,3070.0,599.0,80.0,0,0,C,216,167,0.22338379998109303
19,B,16,16,16,8779.613,391,16,1,27,5919.186998749318,6381.612956506739,3849.186998749319,2532.4259577574207,1955.0,363.0,80.0,0,,,,,0.356523800001014
19,C,16,16,16,12049.502,730,16,1,29,6687.186163825281,7599.501639937533,3667.1861638252803,3932.3154761122523,3650.0,720.0,80.0,0,,,,,0.3018080999900121
20,Cplus3F,16,16,16,8858.875,418,16,1,27,6061.827111645698,6280.874765355359,3796.827111645699,2484.047653709661,2090.0,408.0,80.0,0,0,B,0,0,0.48940659998334013
20,C3FDirect,16,16,16,10683.912,558,16,1,29,6254.455745784309,7280.911534942555,3655.455745784309,3625.4557891582454,2790.0,533.0,80.0,0,0,C,344,137,0.6714538999949582
20,B,16,16,16,8858.875,418,16,1,27,6061.827111645698,6280.874765355359,3796.827111645699,2484.047653709661,2090.0,408.0,80.0,0,,,,,0.3361340999836102
20,C,16,16,16,11169.706,660,16,1,29,6638.027050376436,7135.705770033587,3640.027050376434,3495.6787196571518,3300.0,654.0,80.0,0,,,,,0.6141887000121642
21,Cplus3F,16,16,16,9171.468,429,16,1,27,6106.805970391075,6539.468134652544,3782.805970391078,2756.6621642614678,2145.0,407.0,80.0,0,0,B,0,0,0.36355789998196997
21,C3FDirect,16,16,16,11948.698,703,16,1,29,6397.313970324049,7676.698114980933,3647.313970324048,4029.384144656888,3515.0,677.0,80.0,0,0,C,382,227,0.6302543999918271
21,B,16,16,16,9171.468,429,16,1,27,6106.805970391075,6539.468134652544,3782.805970391078,2756.6621642614678,2145.0,407.0,80.0,0,,,,,0.3409539999847766
21,C,16,16,16,13402.83,939,16,1,29,6808.526432326396,7701.83008054951,3629.5264323263946,4072.303648223115,4695.0,926.0,80.0,0,,,,,0.5933596999966539
22,Cplus3F,16,16,16,7990.401,334,16,1,27,5651.769964511432,5925.400816075864,3838.7699645114326,2086.6308515644337,1670.0,315.0,80.0,0,0,B,0,0,0.2966026999929454
22,C3FDirect,16,16,16,9394.659,551,16,1,29,6083.6026172749,6018.6587464686545,3496.6026172748993,2522.056129193755,2755.0,541.0,80.0,0,0,C,296,154,0.3484292000066489
22,B,16,16,16,7990.401,334,16,1,27,5651.769964511432,5925.400816075864,3838.7699645114326,2086.6308515644337,1670.0,315.0,80.0,0,,,,,0.29882130000623874
22,C,16,16,16,10569.89,618,16,1,29,6162.174674652821,6787.889689442404,3463.174674652819,3324.7150147895854,3090.0,612.0,80.0,0,,,,,0.4673157000215724
23,Cplus3F,16,16,16,9224.032,453,16,1,27,5924.184153578988,6439.031838487422,3756.1841535789904,2682.847684908432,2265.0,440.0,80.0,0,0,B,0,0,0.3938847999961581
23,C3FDirect,16,16,16,11044.701,619,16,1,29,6119.675005347594,7268.701423379327,3592.675005347595,3676.026418031733,3095.0,601.0,80.0,0,0,C,309,190,0.4150732999842148
23,B,16,16,16,9224.032,453,16,1,27,5924.184153578988,6439.031838487422,3756.1841535789904,2682.847684908432,2265.0,440.0,80.0,0,,,,,0.41722370000206865
23,C,16,16,16,12356.081,792,16,1,29,6488.281502787045,7528.080919346348,3539.281502787043,3988.799416559307,3960.0,788.0,80.0,0,,,,,0.4615710000216495
24,Cplus3F,16,16,16,8206.407,367,16,1,27,5843.286701237713,5937.407458780594,3758.2867012377137,2179.1207575428807,1835.0,354.0,80.0,0,0,B,0,0,0.39209930002107285
24,C3FDirect,16,16,16,9226.332,527,16,1,29,6064.540095078895,5991.3317677113355,3513.540095078895,2477.7916726324443,2635.0,520.0,80.0,0,0,C,288,135,0.42918599999393336
24,B,16,16,16,8206.407,367,16,1,27,5843.286701237713,5937.407458780594,3758.2867012377137,2179.1207575428807,1835.0,354.0,80.0,0,,,,,0.4293665000004694
24,C,16,16,16,10807.07,646,16,1,29,6273.5554861806195,6862.069788635575,3497.5554861806177,3364.514302454956,3230.0,635.0,80.0,0,,,,,0.5377952999842819
25,Cplus3F,16,16,16,9835.107,499,16,1,27,6358.411985460389,6763.106569903926,3986.4119854603905,2776.6945844435345,2495.0,497.0,80.0,0,0,B,0,0,0.23972099999082275
25,C3FDirect,16,16,16,13259.36,750,16,1,29,6396.9594076730045,8714.359596574632,3700.9594076730027,5013.400188901638,3750.0,715.0,80.0,0,0,C,309,257,1.024643400014611
25,B,16,16,16,9835.107,499,16,1,27,6358.411985460389,6763.106569903926,3986.4119854603905,2776.6945844435345,2495.0,497.0,80.0,0,,,,,0.25811339999199845
25,C,16,16,16,14952.577,1028,16,1,29,6701.5750881786325,8727.577090912517,3699.5750881786316,5028.002002733895,5140.0,1005.0,80.0,0,,,,,1.12423439999111
26,Cplus3F,16,16,16,9052.901,438,16,1,27,5931.209881936643,6360.901181012279,3800.209881936645,2560.6912990756364,2190.0,422.0,80.0,0,0,B,0,0,0.45563370001036674
26,C3FDirect,16,16,16,10073.34,591,16,1,29,5464.198083594528,6467.339524708633,3129.1980835945274,3338.1414411141104,2955.0,571.0,80.0,0,0,C,362,188,0.6224352999997791
26,B,16,16,16,9052.901,438,16,1,27,5931.209881936643,6360.901181012279,3800.209881936645,2560.6912990756364,2190.0,422.0,80.0,0,,,,,0.387331699981587
26,C,16,16,16,11173.148,763,16,1,29,5751.141301047791,6532.147697181481,3126.1413010477895,3406.006396133695,3815.0,746.0,80.0,0,,,,,0.7561844000010751
27,Cplus3F,16,16,16,8916.156,454,16,1,27,6474.649055911774,6129.156419849406,3933.649055911777,2195.5073639376324,2270.0,437.0,80.0,0,0,B,0,0,0.19362659999751486
27,C3FDirect,16,16,16,11548.882,632,16,1,29,6082.225628623242,7697.882083038599,3632.225628623242,4065.6564544153603,3160.0,611.0,80.0,0,0,C,386,207,0.5825513000017963
27,B,16,16,16,8916.156,454,16,1,27,6474.649055911774,6129.156419849406,3933.649055911777,2195.5073639376324,2270.0,437.0,80.0,0,,,,,0.207684099994367
27,C,16,16,16,13791.819,950,16,1,29,6592.223580449801,8028.818643050589,3630.2235804498,4398.595062600792,4750.0,933.0,80.0,0,,,,,0.5773622000124305
28,Cplus3F,16,16,16,9307.772,481,16,1,27,6148.230903073831,6345.772457239265,3807.2309030738334,2538.541554165434,2405.0,477.0,80.0,0,0,B,0,0,0.2930367000226397
28,C3FDirect,16,16,16,11336.596,622,16,1,29,5887.373389278668,7536.596209688195,3502.373389278667,4034.222820409528,3110.0,610.0,80.0,0,0,C,538,196,0.7670584000006784
28,B,16,16,16,9307.772,481,16,1,27,6148.230903073831,6345.772457239265,3807.2309030738334,2538.541554165434,2405.0,477.0,80.0,0,,,,,0.24650429998291656
28,C,16,16,16,11787.992,712,16,1,29,6030.174674652821,7444.991840607246,3463.174674652819,3981.8171659544314,3560.0,703.0,80.0,0,,,,,0.7847107999841683
29,Cplus3F,16,16,16,7993.333,366,16,1,27,5830.495407551485,5727.333081527413,3809.495407551487,1917.837673975924,1830.0,356.0,80.0,0,0,B,0,0,0.2273925999761559
29,C3FDirect,16,16,16,12846.787,774,16,1,29,6215.383849906684,8129.7865722533425,3634.3838499066833,4495.4027223466655,3870.0,767.0,80.0,0,0,C,496,309,1.131572899990715
29,B,16,16,16,7993.333,366,16,1,27,5830.495407551485,5727.333081527413,3809.495407551487,1917.837673975924,1830.0,356.0,80.0,0,,,,,0.2227980000025127
29,C,16,16,16,14732.829,1167,16,1,29,6915.564596392736,7660.828870955427,3631.564596392736,4029.2642745626968,5835.0,1157.0,80.0,0,,,,,1.0676199999870732
30,Cplus3F,16,16,16,8372.07,367,16,1,27,5838.078231657421,6111.0696557857,3802.0782316574223,2308.9914241282786,1835.0,346.0,80.0,0,0,B,0,0,0.37108599999919534
30,C3FDirect,16,16,16,10432.802,546,16,1,29,5919.285967563241,7096.801837183736,3467.28596756324,3629.5158696204953,2730.0,526.0,80.0,0,0,C,335,148,0.5065315999963786
30,B,16,16,16,8372.07,367,16,1,27,5838.078231657421,6111.0696557857,3802.0782316574223,2308.9914241282786,1835.0,346.0,80.0,0,,,,,0.32306699999026023
30,C,16,16,16,11665.716,680,16,1,29,6042.174674652821,7515.715807511409,3463.174674652819,4052.5411328585938,3400.0,670.0,80.0,0,,,,,0.7622325999836903
31,Cplus3F,16,16,16,9159.452,448,16,1,27,6545.872517027328,6402.45236441454,4030.8725170273306,2371.5798473872096,2240.0,437.0,80.0,0,0,B,0,0,0.35110870000789873
31,C3FDirect,16,16,16,11088.826,557,16,1,29,6016.711427731532,7676.826078551073,3654.7114277315304,4022.11465081954,2785.0,547.0,80.0,0,0,C,332,185,0.3453328000032343
31,B,16,16,16,9159.452,448,16,1,27,6545.872517027328,6402.45236441454,4030.8725170273306,2371.5798473872096,2240.0,437.0,80.0,0,,,,,0.4241656999802217
31,C,16,16,16,12117.62,692,16,1,29,6538.711427731532,7894.620065119865,3654.7114277315304,4239.908637388336,3460.0,683.0,80.0,0,,,,,0.4151620000193361
32,Cplus3F,16,16,16,10048.81,508,16,1,27,5779.953442886574,6930.809659072658,3710.9534428865745,3219.856216186085,2540.0,498.0,80.0,0,0,B,0,0,0.32269659999292344
32,C3FDirect,16,16,16,11609.316,611,62,1,29,5890.622909304485,7734.315627711432,3543.622909304483,4190.692718406958,3055.0,602.0,218.0,46,0,C,541,193,0.6410372999962419
32,B,16,16,16,10048.81,508,16,1,27,5779.953442886574,6930.809659072658,3710.9534428865745,3219.856216186085,2540.0,498.0,80.0,0,,,,,0.31717979998211376
32,C,16,16,16,13011.221,795,62,1,29,6107.516398217391,8026.221312557863,3499.51639821739,4526.70491434048,3975.0,792.0,218.0,46,,,,,0.787383899994893
33,Cplus3F,16,16,16,11457.068,665,16,1,27,6584.0386785429055,7405.067711363284,3952.038678542907,3453.029032820374,3325.0,647.0,80.0,0,0,B,0,0,0.6401899999764282
33,C3FDirect,16,16,16,13068.933,731,16,1,29,6280.648717705616,8619.932972401864,3636.6487177056138,4983.28425469625,3655.0,714.0,80.0,0,0,C,517,263,0.8466494000167586
33,B,16,16,16,11457.068,665,16,1,27,6584.0386785429055,7405.067711363284,3952.038678542907,3453.029032820374,3325.0,647.0,80.0,0,,,,,0.607753699994646
33,C,16,16,16,15519.834,1082,16,1,29,6694.648717705616,8963.834267085025,3636.6487177056138,5327.185549379412,5410.0,1066.0,80.0,0,,,,,0.9872767000051681
34,Cplus3F,16,16,16,6885.651,293,16,1,27,5702.958292221088,5056.651330758424,3998.958292221089,1057.6930385373344,1465.0,284.0,80.0,0,0,B,0,0,0.19812580000143498
34,C3FDirect,16,16,16,8375.839,515,16,1,29,4913.947505065912,5223.838884771271,2791.947505065911,2431.891379705361,2575.0,497.0,80.0,0,0,C,149,179,0.39190240000607446
34,B,16,16,16,6885.651,293,16,1,27,5702.958292221088,5056.651330758424,3998.958292221089,1057.6930385373344,1465.0,284.0,80.0,0,,,,,0.1730900999973528
34,C,16,16,16,9035.811,606,16,1,29,5075.018030854492,5324.8113677043875,2778.0180308544914,2546.793336849897,3030.0,601.0,80.0,0,,,,,0.45314570001210086
35,Cplus3F,16,16,16,7746.502,351,16,1,27,4802.697502191343,5572.501598150641,3041.6975021913445,2530.804095959296,1755.0,339.0,80.0,0,0,B,0,0,0.2818052000075113
35,C3FDirect,16,16,16,11985.687,649,16,1,29,6367.468148823293,8034.687016076918,3634.468148823291,4400.21886725363,3245.0,626.0,80.0,0,0,C,342,182,0.5328971000271849
35,B,16,16,16,7746.502,351,16,1,27,4802.697502191343,5572.501598150641,3041.6975021913445,2530.804095959296,1755.0,339.0,80.0,0,,,,,0.2182844000053592
35,C,16,16,16,12540.659,779,16,1,29,6549.572250307456,7794.65902332738,3641.572250307455,4153.086773019927,3895.0,771.0,80.0,0,,,,,0.552564399986295
36,Cplus3F,16,16,16,9427.153,454,16,1,27,6383.417880972237,6643.15343591974,4023.4178809722375,2619.735554947505,2270.0,434.0,80.0,0,0,B,0,0,0.35749910000595264
36,C3FDirect,16,16,16,10300.863,557,16,1,29,5685.696533487824,6894.862579491521,3319.6965334878237,3575.1660460036987,2785.0,541.0,80.0,0,0,C,353,162,0.5552929000114091
36,B,16,16,16,9427.153,454,16,1,27,6383.417880972237,6643.15343591974,4023.4178809722375,2619.735554947505,2270.0,434.0,80.0,0,,,,,0.3393969000026118
36,C,16,16,16,11582.976,761,16,1,29,6054.443485734594,6939.975650406467,3309.4434857345927,3630.532164671877,3805.0,758.0,80.0,0,,,,,0.5636102000134997
37,Cplus3F,16,16,16,9407.47,431,16,1,27,6250.80340014476,6760.470497938699,4013.8034001447627,2746.6670977939357,2155.0,412.0,80.0,0,0,B,0,0,0.5950567999971099
37,C3FDirect,16,16,16,11710.65,629,16,1,29,6210.793574884614,7864.649879420888,3635.7935748846126,4228.856304536278,3145.0,621.0,80.0,0,0,C,307,190,0.5350682999996934
37,B,16,16,16,9407.47,431,16,1,27,6250.80340014476,6760.470497938699,4013.8034001447627,2746.6670977939357,2155.0,412.0,80.0,0,,,,,0.606059700017795
37,C,16,16,16,12384.634,807,16,1,29,6727.559565158749,7464.633519602027,3634.559565158748,3830.0739544432795,4035.0,805.0,80.0,0,,,,,0.341014500008896
38,Cplus3F,16,16,16,8258.621,364,16,1,27,5997.6864483494755,6007.620659071533,3892.6864483494755,2114.9342107220577,1820.0,351.0,80.0,0,0,B,0,0,0.37095290000434034
38,C3FDirect,16,16,16,11685.652,655,16,1,29,6282.3773884229495,7690.651865522326,3639.3773884229486,4051.274477099381,3275.0,640.0,80.0,0,0,C,529,195,0.9189728999917861
