case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
16,C,14,14,14,7550.677,310,14,1,29,5342.384811053255,5637.677207069704,3646.3848110532545,1991.292396016453,1550.0,293.0,70.0,0,,,,,0.5320408999978099
17,Cplus3F,13,13,13,7488.592,329,13,1,29,5654.750940206074,5452.592072345712,3696.750940206073,1755.8411321396381,1645.0,326.0,65.0,0,4,C,52,50,0.08563659997889772
17,C3FDirect,13,13,13,7488.592,329,13,1,29,5654.750940206074,5452.592072345712,3696.750940206073,1755.8411321396381,1645.0,326.0,65.0,0,4,C,52,50,0.08757780000451021
17,B,13,13,13,8857.498,387,13,1,27,6218.641899706066,6494.497879534038,4108.641899706067,2385.8559798279716,1935.0,363.0,65.0,0,,,,,0.6838401000131853
17,C,13,13,13,8244.75,311,13,1,29,5392.5264323263955,6320.750454070438,3629.5264323263946,2691.224021744043,1555.0,304.0,65.0,0,,,,,0.22632369998609647
18,Cplus3F,11,11,11,7671.617,396,11,1,29,6058.449685092365,5246.616832929169,3721.4496850923642,1525.1671478368055,1980.0,390.0,55.0,0,2,C,54,52,0.05905650000204332
18,C3FDirect,11,11,11,7671.617,396,11,1,29,6058.449685092365,5246.616832929169,3721.4496850923642,1525.1671478368055,1980.0,390.0,55.0,0,2,C,54,52,0.09169699999620207
18,B,11,11,11,7949.035,370,11,1,27,6186.8719793931805,5685.035234578199,4081.871979393182,1603.1632551850212,1850.0,359.0,55.0,0,,,,,0.32672189999721013
18,C,11,11,11,8652.19,394,11,1,29,5860.5264323263955,6247.1899570115675,3629.5264323263946,2617.663524685172,1970.0,380.0,55.0,0,,,,,0.3657930000044871
19,Cplus3F,12,12,12,7866.243,355,12,1,29,5614.5264323263955,5696.243498004966,3629.5264323263946,2066.7170656785715,1775.0,335.0,60.0,0,5,C,44,40,0.2757393000065349
19,C3FDirect,12,12,12,7866.243,355,12,1,29,5614.5264323263955,5696.243498004966,3629.5264323263946,2066.7170656785715,1775.0,335.0,60.0,0,5,C,44,40,0.35084009999991395
19,B,12,12,12,9352.999,404,12,1,27,6252.8719793931805,6900.999093241694,4081.871979393182,2819.1271138485154,2020.0,372.0,60.0,0,,,,,0.4568755000072997
19,C,12,12,12,8101.338,354,12,1,29,5524.5264323263955,5943.337808649242,3629.5264323263946,2313.8113763228475,1770.0,328.0,60.0,0,,,,,0.47458259999984875
20,Cplus3F,13,13,13,8162.923,375,13,1,29,5737.883281372695,5874.922570418404,3682.8832813726945,2192.039289045709,1875.0,348.0,65.0,0,3,C,63,50,0.6552967999887187
20,C3FDirect,13,13,13,8162.923,375,13,1,29,5737.883281372695,5874.922570418404,3682.8832813726945,2192.039289045709,1875.0,348.0,65.0,0,3,C,63,50,0.7085392999870237
20,B,13,13,13,10351.238,388,13,1,27,6105.27295608786,7977.238153580467,4122.27295608786,3854.9651974926096,1940.0,369.0,65.0,0,,,,,0.44774500001221895
