case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
28,L950_C2,11,11,11,10674.982,374,11,1,31,8536.448267190432,8381.982085498095,6395.448267190432,1986.5338183076642,1870.0,368.0,55.0,0,0.32154209999134764
29,L950_C2,15,15,15,10639.744,272,15,1,31,7929.913156348949,8946.74351292873,6419.913156348949,2526.830356579786,1360.0,258.0,75.0,0,0.34757800001534633
30,L950_C2,10,10,10,10497.707,388,10,1,31,8703.182944863403,8128.706527759619,6456.182944863404,1672.523582896214,1940.0,379.0,50.0,0,0.2650077000143938
31,L950_C2,12,12,12,10293.233,336,12,1,31,8343.803670662106,8221.23281720269,6395.803670662107,1825.4291465405834,1680.0,332.0,60.0,0,0.22312069998588413
32,L950_C2,13,13,13,10583.471,333,13,1,31,8310.95958141025,8526.471420934868,6398.95958141025,2127.511839524622,1665.0,327.0,65.0,0,0.2727735999797005
33,L950_C2,14,14,14,10189.201,310,14,1,31,8128.448267190432,8269.201013249836,6395.448267190432,1873.752746059406,1550.0,300.0,70.0,0,0.3493681999971159
34,L950_C2,11,11,11,11749.799,459,11,1,31,8893.117223576628,8949.799152794641,6399.117223576628,2550.681929218015,2295.0,450.0,55.0,0,0.24385780000011437
35,L950_C2,11,11,11,11330.338,414,11,1,31,8680.448267190432,8803.337529655068,6395.448267190432,2407.8892624646373,2070.0,402.0,55.0,0,0.26229429998784326
36,L950_C2,11,11,11,10872.782,372,11,1,31,8566.448267190432,8590.782381471166,6395.448267190432,2195.334114280734,1860.0,367.0,55.0,0,0.20018440001877025
37,L950_C2,12,12,12,10516.71,337,12,1,31,8344.754006291243,8441.70956811713,6397.754006291242,2043.955561825887,1685.0,330.0,60.0,0,0.14654789998894557
38,L950_C2,11,11,11,10758.065,386,11,1,31,8596.448267190432,8398.064927508494,6395.448267190432,2002.6166603180643,1930.0,375.0,55.0,0,0.3523916999984067
39,L950_C2,11,11,11,11257.776,409,11,1,31,8662.448267190432,8765.776239740433,6395.448267190432,2370.327972550001,2045.0,392.0,55.0,0,0.18343729997286573
40,L950_C2,11,11,11,10721.843,405,11,1,31,8769.917677720034,8244.842783007785,6425.917677720034,1818.9251052877535,2025.0,397.0,55.0,0,0.2206865000189282
41,L950_C2,11,11,11,10666.328,390,11,1,31,8626.448267190432,8283.327661279967,6395.448267190432,1887.8793940895375,1950.0,378.0,55.0,0,0.25946560001466423
42,L950_C2,14,14,14,10732.701,298,14,1,31,8049.098776729783,8892.700576885542,6414.098776729784,2478.6018001557604,1490.0,280.0,70.0,0,0.423096299986355
43,L950_C2,15,15,15,10874.706,324,15,1,31,8223.496820144424,8862.706356517925,6395.4968201444235,2467.2095363734975,1620.0,317.0,75.0,0,0.29090600000927225
44,L950_C2,11,11,11,10728.959,394,11,1,31,8675.042250171919,8321.958802548826,6445.042250171919,1876.9165523769084,1970.0,382.0,55.0,0,0.16461109998635948
45,L950_C2,10,10,10,10658.578,412,10,1,31,8716.448267190432,8141.578421698471,6395.448267190432,1746.1301545080403,2060.0,407.0,50.0,0,0.18992619999335147
46,L950_C2,15,15,15,10713.036,287,15,1,31,7955.670380328058,8933.036421961673,6415.670380328058,2517.366041633615,1435.0,270.0,75.0,0,0.33495409999159165
47,L950_C2,15,15,15,10380.409,274,15,1,31,7989.823505566393,8681.408654758547,6500.823505566392,2180.585149192152,1370.0,254.0,75.0,0,0.4815293000137899
48,L950_C2,11,11,11,10961.618,393,11,1,31,8633.720112166866,8561.617771737006,6397.720112166867,2163.897659570139,1965.0,380.0,55.0,0,0.3216821000096388
49,L950_C2,12,12,12,11521.253,393,12,1,31,8578.071640243295,9126.252783923992,6402.0716402432945,2724.1811436806943,1965.0,370.0,60.0,0,0.2447861999971792
50,L950_C2,16,16,16,7596.125,327,16,1,31,4190.847325233439,5558.1248487535795,2891.847325233439,2666.2775235201407,1635.0,323.0,80.0,0,0.42003869998734444
