case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
172,L950_C2,12,12,12,11671.111,404,12,1,31,8640.649233260505,9212.111045431486,2020.0,379.0,60.0,0,0.5045020000252407
173,L950_C2,13,13,13,10686.276,335,13,1,31,8296.448267190432,8618.275792447834,1675.0,328.0,65.0,0,0.7730442000029143
174,L950_C2,13,13,13,10581.724,350,13,1,31,8426.522210451656,8430.724028535149,1750.0,336.0,65.0,0,0.8789063000003807
175,L950_C2,12,12,12,10873.981,380,12,1,31,8643.701677551688,8540.98129892951,1900.0,373.0,60.0,0,0.6959442000079434
176,L950_C2,11,11,11,10651.032,371,11,1,31,8584.448267190432,8372.032480579028,1855.0,369.0,55.0,0,0.24616370000876486
177,L950_C2,15,15,15,10670.204,300,15,1,31,8059.634736577898,8816.203951623762,1500.0,279.0,75.0,0,1.2550035000022035
178,L950_C2,15,15,15,10484.496,300,15,1,31,8080.105399209803,8620.49600283142,1500.0,289.0,75.0,0,0.8339262999943458
179,L950_C2,16,16,16,7332.248,220,16,1,31,4118.047603984127,5964.247969915671,1100.0,188.0,80.0,0,1.220844900002703
180,L950_C2,13,13,13,10546.343,333,13,1,31,8230.892032619222,8500.342674740614,1665.0,316.0,65.0,0,1.043517400015844
181,L950_C2,15,15,15,10321.539,301,15,1,31,8088.49856105836,8450.539216240408,1505.0,291.0,75.0,0,0.7302742000028957
182,L950_C2,11,11,11,10980.066,406,11,1,31,8668.448267190432,8507.065756183545,2030.0,388.0,55.0,0,0.7614076000172645
183,L950_C2,16,16,16,5092.535,162,16,1,31,2623.0726915683617,4061.5352969221767,810.0,141.0,80.0,0,0.7767444000055548
184,L950_C2,16,16,16,6121.261,226,16,1,31,4344.093797378871,4689.2611597185,1130.0,222.0,80.0,0,0.3642896999954246
185,L950_C2,12,12,12,10117.802,333,12,1,31,8314.448267190432,8061.801599172382,1665.0,331.0,60.0,0,0.5593830000143498
186,L950_C2,12,12,12,10319.453,339,12,1,31,8335.17584828088,8233.4534327694,1695.0,331.0,60.0,0,0.6983661999984179
187,L950_C2,10,10,10,10579.169,380,10,1,31,8620.448267190432,8251.169494347387,1900.0,378.0,50.0,0,0.3210851000039838
188,L950_C2,15,15,15,10308.68,281,15,1,31,7980.326801091454,8558.680161849903,1405.0,270.0,75.0,0,0.8459492000110913
189,L950_C2,15,15,15,10935.735,334,15,1,31,8254.243872708581,8873.734712674255,1670.0,317.0,75.0,0,0.8445811000128742
190,L950_C2,14,14,14,10599.952,349,14,1,31,8355.103984621412,8445.951647052421,1745.0,339.0,70.0,0,0.7317098999919835
191,L950_C2,15,15,15,10200.468,279,15,1,31,7945.1585168772635,8463.468181688644,1395.0,267.0,75.0,0,0.9045171000179835
192,L950_C2,10,10,10,10783.633,406,10,1,31,8790.444514572902,8304.633417222904,2030.0,399.0,50.0,0,0.23902219999581575
193,L950_C2,16,16,16,6443.917,212,16,1,31,3649.0,5120.917284481861,1060.0,183.0,80.0,0,0.9719687000033446
194,L950_C2,14,14,14,10955.762,357,14,1,31,8338.448267190432,8764.76230991798,1785.0,336.0,70.0,0,1.355570899992017
