组号,类型,S_x(m),S_y(m),监测点数,区域状态,直径(m),同直径圆覆盖,检查结果,M1_x(m),M1_y(m),M2_x(m),M2_y(m),M3_x(m),M3_y(m),M4_x(m),M4_y(m),M5_x(m),M5_y(m),M6_x(m),M6_y(m)
MC071,蒙特卡洛,926.6917090412743,-1312.1300957599976,5,polygon,11.693129144506837,False,通过,527.699105593946,-891.3864395417097,1134.276221612844,-834.279794304872,1200.6059509788652,-958.6276497175501,1009.5477407055728,-1738.9915811640803,517.8962264075442,-1257.710044481896,,
MC072,蒙特卡洛,-1343.2627738400643,814.582836403274,6,polygon,5.655142111605141,True,通过,-1526.7226975741264,929.978158522468,-1456.970004616607,1384.56626062343,-1525.18697077754,925.513177860522,-1513.1705621455667,1161.410840205588,-1605.2270110634684,1068.700024241744,-1251.8439125376665,829.3384055032824
MC073,蒙特卡洛,1006.7538048604395,-1362.4056975916062,4,polygon,50.526040098053215,True,通过,847.5701415346109,-2052.8702121592305,382.23938260988484,-1856.3895382227372,1400.3294093378743,-922.695006293292,574.9490894476846,-1662.638340246395,,,,
MC074,蒙特卡洛,99.37905900129483,1123.7558792920834,6,polygon,26.66362284205191,True,通过,435.35052848795084,1672.376535868421,720.7533279496964,982.6736869506847,133.4861519148535,1810.832410048391,849.8738541018878,633.3180876256026,52.83131284328849,1714.4942358897288,416.61040531692447,1421.994047379492
MC075,蒙特卡洛,561.1399719893262,-1545.729697502863,5,polygon,26.47610790084268,False,通过,1121.3336063794216,-1754.172284247326,1136.5850839910336,-1572.6497773793872,318.47083826836285,-1247.9013387832183,1091.3320818054508,-1517.7147433307205,926.7731122366476,-895.4638613186033,,
MC076,蒙特卡洛,-605.0461663862985,44.39819615473944,3,polygon,30.177884060861118,True,通过,105.79689875211557,511.7632662140287,-971.8460507412101,-232.18563324958467,-232.43294948556718,-616.4503696770574,,,,,,
MC077,蒙特卡洛,-678.8956026090531,-1029.1106565942773,3,polygon,28.53854201629804,True,通过,-773.0415110143354,-372.12655645445193,-647.4953540791595,-1338.2169180001517,-83.11545577787626,-796.4635404925732,,,,,,
MC078,蒙特卡洛,149.85700138718838,1383.7212839211688,6,polygon,24.841331921628875,True,通过,-364.0805336645583,1142.8384558046794,-8.115785274592184,737.4168431196304,274.94297390914096,1571.3252827860267,577.0710389071315,2127.4057614912276,-157.2548391673279,586.8042031337332,536.4219220060382,1546.0281531977912
MC079,蒙特卡洛,705.9992537011983,-175.20433696147217,6,polygon,12.76879336293513,False,通过,831.8388495088386,606.0713591264832,372.9506649080596,639.3470202337387,1327.8058726315953,-143.82405358567846,1047.88127111505,161.63872393646767,1236.064398641736,499.8378441888521,1325.2756333676907,9.318400048604445
MC080,蒙特卡洛,600.4223721122771,373.2777861713133,2,polygon,56.20945871566772,True,通过,1439.3370140630232,338.4381393653957,981.3801590270435,1009.6297093498379,,,,,,,,
MC081,蒙特卡洛,953.8072900467473,257.0350538282093,2,polygon,49.01065520977565,True,通过,239.23103261952713,346.5001268997847,745.4774056199894,1076.3106530363382,,,,,,,,
MC082,蒙特卡洛,-96.4719631380649,1563.2055336825917,2,polygon,25.209961832831173,True,通过,-681.1212570706308,1681.1525289285107,-25.455433854625994,1942.2105768149445,,,,,,,,
