"组号","误差半角(°)","区域状态","直径(m)","包含检查","直径不减检查","检查结果","","","","","","","","","","","","",""
"MC080","0.9","polygon","50.5788136764402","基准","不适用","通过","","","","","","","","","","","","",""
"MC080","1","polygon","56.2094587156677","通过","通过","通过","","","","","","","","","","","","",""
"MC080","1.1","polygon","61.8435127584559","通过","通过","通过","","","","","","","","","","","","",""
"MC081","0.9","polygon","44.1031881575105","基准","不适用","通过","","","","","","","","","","","","",""
"MC081","1","polygon","49.0106552097756","通过","通过","通过","","","","","","","","","","","","",""
"MC081","1.1","polygon","53.9203713762008","通过","通过","通过","","","","","","","","","","","","",""
"MC082","0.9","polygon","22.6871532717359","基准","不适用","通过","","","","","","","","","","","","",""
"MC082","1","polygon","25.2099618328312","通过","通过","通过","","","","","","","","","","","","",""
"MC082","1.1","polygon","27.7334068081278","通过","通过","通过","","","","","","","","","","","","",""
"MC083","0.9","polygon","9.98072638116343","基准","不适用","通过","","","","","","","","","","","","",""
"MC083","1","polygon","13.1462111377041","通过","通过","通过","","","","","","","","","","","","",""
"MC083","1.1","polygon","16.2071815359665","通过","通过","通过","","","","","","","","","","","","",""
"MC084","0.9","polygon","24.3540671370512","基准","不适用","通过","","","","","","","","","","","","",""
"MC084","1","polygon","27.485834185613","通过","通过","通过","","","","","","","","","","","","",""
"MC084","1.1","polygon","30.6174799340202","通过","通过","通过","","","","","","","","","","","","",""
"MC085","0.9","polygon","23.0126661820076","基准","不适用","通过","","","","","","","","","","","","",""
"MC085","1","polygon","25.8970862889085","通过","通过","通过","","","","","","","","","","","","",""
"MC085","1.1","polygon","28.5273568787885","通过","通过","通过","","","","","","","","","","","","",""
"MC086","0.9","polygon","43.2632350064899","基准","不适用","通过","","","","","","","","","","","","",""
"MC086","1","polygon","48.0684062328141","通过","通过","通过","","","","","","","","","","","","",""
"MC086","1.1","polygon","52.8729917607777","通过","通过","通过","","","","","","","","","","","","",""
"MC087","0.9","polygon","3.33829040210947","基准","不适用","通过","","","","","","","","","","","","",""
"MC087","1","polygon","6.12589478137809","通过","通过","通过","","","","","","","","","","","","",""
"MC087","1.1","polygon","8.91191018864275","通过","通过","通过","","","","","","","","","","","","",""
"MC088","0.9","polygon","4.88402952740311","基准","不适用","通过","","","","","","","","","","","","",""
"MC088","1","polygon","10.0299055654433","通过","通过","通过","","","","","","","","","","","","",""
"MC088","1.1","polygon","14.7290651133166","通过","通过","通过","","","","","","","","","","","","",""
"MC089","0.9","polygon","26.1918718436693","基准","不适用","通过","","","","","","","","","","","","",""
"MC089","1","polygon","29.1040199148025","通过","通过","通过","","","","","","","","","","","","",""
"MC089","1.1","polygon","32.0167810503469","通过","通过","通过","","","","","","","","","","","","",""
"MC090","0.9","polygon","45.9455295729194","基准","不适用","通过","","","","","","","","","","","","",""
"MC090","1","polygon","51.0631622749355","通过","通过","通过","","","","","","","","","","","","",""
"MC090","1.1","polygon","56.1847741817132","通过","通过","通过","","","","","","","","","","","","",""
"MC091","0.9","polygon","62.4500145555612","基准","不适用","通过","","","","","","","","","","","","",""
"MC091","1","polygon","69.3862275544478","通过","通过","通过","","","","","","","","","","","","",""
"MC091","1.1","polygon","76.3215951040487","通过","通过","通过","","","","","","","","","","","","",""
"MC092","0.9","polygon","19.842176153454","基准","不适用","通过","","","","","","","","","","","","",""
"MC092","1","polygon","24.4727636288955","通过","通过","通过","","","","","","","","","","","","",""
"MC092","1.1","polygon","29.1039554703063","通过","通过","通过","","","","","","","","","","","","",""
"MC093","0.9","polygon","59.7121120190167","基准","不适用","通过","","","","","","","","","","","","",""
"MC093","1","polygon","66.3442310108992","通过","通过","通过","","","","","","","","","","","","",""
"MC093","1.1","polygon","72.9755416192638","通过","通过","通过","","","","","","","","","","","","",""
"MC094","0.9","polygon","21.831646364817","基准","不适用","通过","","","","","","","","","","","","",""
"MC094","1","polygon","25.2141350025959","通过","通过","通过","","","","","","","","","","","","",""
"MC094","1.1","polygon","28.6076461795361","通过","通过","通过","","","","","","","","","","","","",""
"MC095","0.9","polygon","16.0631983133145","基准","不适用","通过","","","","","","","","","","","","",""
"MC095","1","polygon","19.3753842078958","通过","通过","通过","","","","","","","","","","","","",""
"MC095","1.1","polygon","22.6788573888588","通过","通过","通过","","","","","","","","","","","","",""
