case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,wall_time_s
142,L1100_C2,16,16,16,8941.138,317,16,1,19,0.46013210000819527
143,L1100_C2,16,16,16,8442.331,413,16,1,19,0.40036980001605116
144,L1100_C2,16,16,16,6982.169,437,16,1,19,0.507681799994316
145,L1100_C2,16,16,16,4888.237,169,16,1,19,0.29241300001740456
146,L1100_C2,16,16,16,8108.335,329,16,1,19,0.2155479000066407
147,L1100_C2,16,16,16,8907.007,318,16,1,19,0.328103200008627
148,L1100_C2,16,16,16,7975.288,272,16,1,19,0.431132500001695
149,L1100_C2,16,16,16,7750.856,262,16,1,19,0.34547199998633005
150,L1100_C2,16,16,16,8942.031,315,16,1,19,0.5994323999912012
151,L1100_C2,16,16,16,7708.138,286,16,1,19,0.5355215000163298
152,L1100_C2,16,16,16,8511.218,305,16,1,19,0.5325749999901745
153,L1100_C2,16,16,16,6412.241,373,16,1,19,0.407947100000456
154,L1100_C2,16,16,16,10018.762,390,16,1,19,0.4596739999833517
155,L1100_C2,16,16,16,7133.625,289,16,1,19,0.6532217999920249
156,L1100_C2,16,16,16,8277.83,289,16,1,19,0.5368302999995649
157,L1100_C2,16,16,16,6429.069,290,16,1,19,0.37055759999202564
158,L1100_C2,16,16,16,8594.516,407,16,1,19,0.6005601999931969
159,L1100_C2,16,16,16,6625.183,267,16,1,19,0.5336751000140794
160,L1100_C2,16,16,16,7112.275,280,16,1,19,0.3675375000166241
161,L1100_C2,16,16,16,7943.717,288,16,1,19,0.5303421999851707
162,L1100_C2,16,16,16,7795.739,215,16,1,19,0.5866381000087131
163,L1100_C2,16,16,16,8449.355,290,16,1,19,0.35010319997672923
164,L1100_C2,16,16,16,7153.97,242,16,1,19,0.25317479998921044
165,L1100_C2,16,16,16,6296.014,214,16,1,19,0.45109380001667887
166,L1100_C2,16,16,16,6640.278,213,16,1,19,0.4183910999854561
167,L1100_C2,16,16,16,8174.963,415,16,1,19,0.5877040000050329
168,L1100_C2,16,16,16,7145.764,252,16,1,19,0.3145717000006698
169,L1100_C2,16,16,16,8192.01,275,16,1,19,0.3253176999860443
170,L1100_C2,16,16,16,7779.741,285,16,1,19,0.3994757999898866
171,L1100_C2,16,16,16,8658.497,404,16,1,19,0.49521330001880415
172,L1100_C2,16,16,16,5491.665,169,16,1,19,0.21912409999640658
173,L1100_C2,16,16,16,7600.924,348,16,1,19,0.5403563999861944
174,L1100_C2,16,16,16,6339.819,234,16,1,19,0.47894639999140054
175,L1100_C2,16,16,16,7269.026,239,16,1,19,0.2020380000176374
176,L1100_C2,16,16,16,8371.232,404,16,1,19,0.40338730000075884
177,L1100_C2,16,16,16,7030.531,270,16,1,19,0.24664829997345805
178,L1100_C2,16,16,16,8610.76,286,16,1,19,0.3264060999790672
179,L1100_C2,16,16,16,6645.705,232,16,1,19,0.3204721999936737
180,L1100_C2,16,16,16,8208.068,388,16,1,19,0.4858601000159979
181,L1100_C2,16,16,16,5038.454,150,16,1,19,0.47076120000565425
182,L1100_C2,16,16,16,6569.005,230,16,1,19,0.27766509997309186
183,L1100_C2,16,16,16,7145.154,302,16,1,19,0.5631251999875531
184,L1100_C2,16,16,16,6617.186,263,16,1,19,0.31103720000828616
185,L1100_C2,16,16,16,7872.276,241,16,1,19,0.5094430000171997
186,L1100_C2,16,16,16,7298.702,274,16,1,19,0.3145860999939032
187,L1100_C2,16,16,16,6959.148,255,16,1,19,0.2516701999993529
188,L1100_C2,16,16,16,7353.964,237,16,1,19,0.33522750000702217
189,L1100_C2,16,16,16,7622.472,355,16,1,19,0.4843584999907762
190,L1100_C2,16,16,16,6598.8,256,16,1,19,0.35849640000378713
