label,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,origin_discoveries,selected_route,pruned_observations,audited_pruned,pruned_truth_hits,min_pruned_dist,max_kept_dist,movement,search_movement,post_movement,detection,switching,clearing
A_normal_n10,14,BF,10,10,10,7835.542,395,10,1,4,B,6,0,0,,,5423.542237912549,4108.026009689471,1315.5162282230797,1975.0,387.0,50.0
A_normal_n10,14,CF,10,10,10,6962.572,368,10,1,4,C,27,0,0,,,4707.5723074659945,3679.9829198553507,1027.5893876106443,1840.0,365.0,50.0
A_normal_n10,14,D,10,10,10,6962.572,368,10,1,4,C,27,27,0,1552.264573357481,1486.5147773857902,4707.5723074659945,3679.9829198553507,1027.5893876106443,1840.0,365.0,50.0
A_normal_n10,14,C3F,10,10,10,6962.572,368,10,1,4,C,27,0,0,,,4707.5723074659945,3679.9829198553507,1027.5893876106443,1840.0,365.0,50.0
A_normal_n10,15,B,10,10,10,8581.926,430,10,1,3,B,0,0,0,,,5964.926012793351,4081.871979393182,1883.0540334001719,2150.0,417.0,50.0
A_normal_n10,15,C,10,10,10,7994.985,434,10,1,3,C,0,0,0,,,5349.985219895459,3636.113205761704,1713.872014133756,2170.0,425.0,50.0
A_normal_n10,15,BF,10,10,10,8545.926,424,10,1,3,B,6,0,0,,,5964.926012793351,4081.871979393182,1883.0540334001719,2120.0,411.0,50.0
A_normal_n10,15,CF,10,10,10,7669.985,380,10,1,3,C,54,0,0,,,5349.985219895459,3636.113205761704,1713.872014133756,1900.0,370.0,50.0
A_normal_n10,15,D,10,10,10,7669.985,380,10,1,3,C,54,54,0,1501.6309385810873,1453.6444730390126,5349.985219895459,3636.113205761704,1713.872014133756,1900.0,370.0,50.0
A_normal_n10,15,C3F,10,10,10,7669.985,380,10,1,3,C,54,0,0,,,5349.985219895459,3636.113205761704,1713.872014133756,1900.0,370.0,50.0
A_normal_n10,16,B,10,10,10,8703.467,411,10,1,2,B,0,0,0,,,6212.466750155066,4107.52373030869,2104.9430198463815,2055.0,386.0,50.0
A_normal_n10,16,C,10,10,10,7630.89,442,10,1,2,C,0,0,0,,,4947.8895786407675,3649.629141697181,1298.2604369435871,2210.0,423.0,50.0
A_normal_n10,16,BF,10,10,10,8637.467,400,10,1,2,B,11,0,0,,,6212.466750155066,4107.52373030869,2104.9430198463815,2000.0,375.0,50.0
A_normal_n10,16,CF,10,10,10,7319.89,390,10,1,2,C,52,0,0,,,4947.8895786407675,3649.629141697181,1298.2604369435871,1950.0,372.0,50.0
A_normal_n10,16,D,10,10,10,7319.89,390,10,1,2,C,52,52,0,1524.6128831264962,1492.3485681312548,4947.8895786407675,3649.629141697181,1298.2604369435871,1950.0,372.0,50.0
A_normal_n10,16,C3F,10,10,10,7319.89,390,10,1,2,C,52,0,0,,,4947.8895786407675,3649.629141697181,1298.2604369435871,1950.0,372.0,50.0
A_normal_n10,17,B,10,10,10,8565.336,404,10,1,4,B,0,0,0,,,6101.335704942023,4081.871979393182,2019.4637255488412,2020.0,394.0,50.0
A_normal_n10,17,C,10,10,10,7804.511,434,10,1,4,C,0,0,0,,,5153.511256611045,3673.383096798601,1480.1281598124438,2170.0,431.0,50.0
A_normal_n10,17,BF,10,10,10,8505.336,394,10,1,4,B,10,0,0,,,6101.335704942023,4081.871979393182,2019.4637255488412,1970.0,384.0,50.0
A_normal_n10,17,CF,10,10,10,7438.511,373,10,1,4,C,61,0,0,,,5153.511256611045,3673.383096798601,1480.1281598124438,1865.0,370.0,50.0
A_normal_n10,17,D,10,10,10,7438.511,373,10,1,4,C,61,61,0,1577.1410681517011,1476.365895589388,5153.511256611045,3673.383096798601,1480.1281598124438,1865.0,370.0,50.0
A_normal_n10,17,C3F,10,10,10,7438.511,373,10,1,4,C,61,0,0,,,5153.511256611045,3673.383096798601,1480.1281598124438,1865.0,370.0,50.0
A_normal_n10,18,B,10,10,10,8463.741,404,10,1,3,B,0,0,0,,,5999.74141034707,4081.871979393182,1917.8694309538864,2020.0,394.0,50.0
A_normal_n10,18,C,10,10,10,7978.98,449,10,1,3,C,0,0,0,,,5240.9799170395545,3652.9318015077424,1588.0481155318148,2245.0,443.0,50.0
A_normal_n10,18,BF,10,10,10,8397.741,393,10,1,3,B,11,0,0,,,5999.74141034707,4081.871979393182,1917.8694309538864,1965.0,383.0,50.0
