case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
47,DG2_k3_t0_F,16,16,16,7884.085,367,16,1,29,4634.840461690595,5626.084703231076,2815.8404616905955,2810.244241540483,1835.0,343.0,80.0,0,0,C,182,82,C,5,,,0.7764383000030648
48,Cplus3F,16,16,16,9867.64,496,16,1,27,5518.170106512713,6825.640154008244,3632.1701065127136,3193.4700474955343,2480.0,482.0,80.0,0,0,B,0,0,,,,,1.2283106000104453
48,C3FDirect,16,16,16,9102.964,404,16,1,29,5506.427318551999,6626.964370164779,3450.427318551998,3176.5370516127837,2020.0,376.0,80.0,0,0,C,311,91,,,,,0.8477348999876995
48,DG2_k1_t0_R,16,16,16,10384.327,494,16,1,27,6442.890958698075,7360.32681988637,4290.890958698076,3069.4358611882926,2470.0,474.0,80.0,0,0,B,0,0,B,0,508.3736382682878,21385.38184761184,1.0850536999932956
48,DG2_k2_t0_R,16,16,16,9102.964,404,16,1,29,5506.427318551999,6626.964370164779,3450.427318551998,3176.5370516127837,2020.0,376.0,80.0,0,0,C,311,91,C,2,,,0.8797879999910947
48,DG2_k2_t1_R,16,16,16,9102.964,404,16,1,29,5506.427318551999,6626.964370164779,3450.427318551998,3176.5370516127837,2020.0,376.0,80.0,0,0,C,311,91,C,2,,,0.9014785000181291
48,DG2_k3_t0_R,16,16,16,9102.964,404,16,1,29,5506.427318551999,6626.964370164779,3450.427318551998,3176.5370516127837,2020.0,376.0,80.0,0,0,C,311,91,C,6,,,0.8645670000114478
48,DG2_k3_t1_R,16,16,16,9102.964,404,16,1,29,5506.427318551999,6626.964370164779,3450.427318551998,3176.5370516127837,2020.0,376.0,80.0,0,0,C,311,91,C,6,,,0.8551670000015292
48,DG2_k5_t0_R,16,16,16,9102.964,404,16,1,29,5506.427318551999,6626.964370164779,3450.427318551998,3176.5370516127837,2020.0,376.0,80.0,0,0,C,311,91,C,8,,,0.9110396000032779
48,DG2_k2_t0_F,16,16,16,9102.964,404,16,1,29,5506.427318551999,6626.964370164779,3450.427318551998,3176.5370516127837,2020.0,376.0,80.0,0,0,C,311,91,C,2,,,0.908517900010338
48,DG2_k3_t0_F,16,16,16,9102.964,404,16,1,29,5506.427318551999,6626.964370164779,3450.427318551998,3176.5370516127837,2020.0,376.0,80.0,0,0,C,311,91,C,6,,,0.8840151999902446
49,Cplus3F,16,16,16,6965.204,331,16,1,27,4880.9517771932815,4912.204373747362,3023.951777193283,1888.252596554081,1655.0,318.0,80.0,0,0,B,0,0,,,,,0.8425527999934275
49,C3FDirect,16,16,16,8098.252,376,16,1,29,5284.8007362697235,5776.252070875684,3357.800736269722,2418.4513346059634,1880.0,362.0,80.0,0,0,C,270,97,,,,,0.44636880001053214
49,DG2_k1_t0_R,16,16,16,9721.004,446,16,1,27,6545.695995381001,6992.003931405881,4153.695995381001,2838.3079360248853,2230.0,419.0,80.0,0,0,B,0,0,B,0,508.3736382682878,21385.38184761184,1.092080900009023
49,DG2_k2_t0_R,16,16,16,8134.545,382,16,1,27,5107.844590945408,5776.54511770161,3058.844590945407,2717.700526756208,1910.0,368.0,80.0,0,0,B,0,0,B,0,288.47307916059424,20422.27694531244,0.6963950999779627
49,DG2_k2_t1_R,16,16,16,8134.545,382,16,1,27,5107.844590945408,5776.54511770161,3058.844590945407,2717.700526756208,1910.0,368.0,80.0,0,0,B,0,0,B,0,288.47307916059424,20422.27694531244,0.6998660000099335
49,DG2_k3_t0_R,16,16,16,8098.252,376,16,1,29,5284.8007362697235,5776.252070875684,3357.800736269722,2418.4513346059634,1880.0,362.0,80.0,0,0,C,270,97,C,3,,,0.2751023000164423
49,DG2_k3_t1_R,16,16,16,8098.252,376,16,1,29,5284.8007362697235,5776.252070875684,3357.800736269722,2418.4513346059634,1880.0,362.0,80.0,0,0,C,270,97,C,3,,,0.26338779999059625
49,DG2_k5_t0_R,16,16,16,8098.252,376,16,1,29,5284.8007362697235,5776.252070875684,3357.800736269722,2418.4513346059634,1880.0,362.0,80.0,0,0,C,270,97,C,7,,,0.2726805000274908
