case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,connection_m,b_order_m,wall_time_s
4,DG2_k3_t1_R,16,16,16,6779.58,338,16,1,29,4144.819595884235,4687.580230637637,2612.8195958842352,2074.760634753402,1690.0,322.0,80.0,0,0,C,213,95,C,3,,,0.5723259999940637
4,C3FDirect,16,16,16,6779.58,338,16,1,29,4144.819595884235,4687.580230637637,2612.8195958842352,2074.760634753402,1690.0,322.0,80.0,0,0,C,213,95,,,,,0.5870902000169735
5,Cplus3F,16,16,16,8052.547,339,16,1,27,5335.129573100516,5949.547003027791,3474.129573100517,2475.4174299272736,1695.0,328.0,80.0,0,0,B,0,0,,,,,0.16935070001636632
5,DG_k1_t0,16,16,16,8314.542,359,16,1,27,5597.124757080954,6091.542187008229,3616.124757080955,2475.4174299272736,1795.0,348.0,80.0,0,0,B,0,0,B,0,,,0.1879588000010699
5,DG2_k3_t1_R,16,16,16,8987.503,413,16,1,29,5679.736811599523,6443.502501873406,3509.7368115995214,2933.7656902738845,2065.0,399.0,80.0,0,0,C,202,72,C,4,,,0.35875250000390224
5,C3FDirect,16,16,16,8987.503,413,16,1,29,5679.736811599523,6443.502501873406,3509.7368115995214,2933.7656902738845,2065.0,399.0,80.0,0,0,C,202,72,,,,,0.34513180001522414
6,Cplus3F,16,16,16,7815.438,334,16,1,27,5521.428041252117,5745.437703395569,3661.4280412521175,2084.009662143452,1670.0,320.0,80.0,0,0,B,0,0,,,,,0.31550190001144074
6,DG_k1_t0,16,16,16,8376.378,417,16,1,29,5134.155822072638,5810.378066035274,3147.1558220726383,2663.2222439626353,2085.0,401.0,80.0,0,0,C,261,121,C,1,,,0.43109120000735857
6,DG2_k3_t1_R,16,16,16,8376.378,417,16,1,29,5134.155822072638,5810.378066035274,3147.1558220726383,2663.2222439626353,2085.0,401.0,80.0,0,0,C,261,121,C,6,,,0.5435831999930087
6,C3FDirect,16,16,16,8376.378,417,16,1,29,5134.155822072638,5810.378066035274,3147.1558220726383,2663.2222439626353,2085.0,401.0,80.0,0,0,C,261,121,,,,,0.49730210000416264
7,Cplus3F,16,16,16,9036.829,461,16,1,27,4697.363786764824,6205.828501060647,2872.3637867648254,3333.464714295823,2305.0,446.0,80.0,0,0,B,0,0,,,,,0.40571859999909066
7,DG_k1_t0,16,16,16,9960.04,508,16,1,29,6153.059860962144,6850.039966555024,3632.0598609621425,3217.9801055928806,2540.0,490.0,80.0,0,0,C,246,114,C,1,,,0.37156959998537786
