case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
61,L1000_C2,12,12,12,11101.194,365,12,1,31,9207.835519658523,8862.193838799578,1825.0,354.0,60.0,0,0.2998581000138074
62,L1100_C2,15,15,15,7772.593,233,15,1,19,5307.504871192494,6303.5931745653525,1165.0,229.0,75.0,0,0.3128493999829516
62,L1000_C2,15,15,15,11838.755,318,15,1,31,8848.8986690683,9869.755403655547,1590.0,304.0,75.0,0,0.46431009998195805
63,L1100_C2,15,15,15,8040.08,236,15,1,19,5201.0,6566.080092896958,1180.0,219.0,75.0,0,0.6195494999992661
63,L1000_C2,15,15,15,11075.233,268,15,1,31,8597.052045692753,9399.232839255747,1340.0,261.0,75.0,0,0.4738111999758985
64,L1100_C2,13,13,13,7425.769,237,13,1,19,5303.0,5942.768941490002,1185.0,233.0,65.0,0,0.29875560000073165
64,L1000_C2,13,13,13,11223.702,331,13,1,31,8952.560423726694,9181.7024449029,1655.0,322.0,65.0,0,0.3735591000004206
65,L1100_C2,12,12,12,7832.484,286,12,1,19,5441.0,6082.483838910345,1430.0,260.0,60.0,0,0.685333899979014
65,L1000_C2,12,12,12,11455.683,377,12,1,31,9186.560423726694,9148.683498081986,1885.0,362.0,60.0,0,0.4530130999919493
66,L1100_C2,11,11,11,7417.08,241,11,1,19,5321.0,5922.079910853323,1205.0,235.0,55.0,0,0.30376779998186976
66,L1000_C2,11,11,11,11564.43,359,11,1,31,9090.560423726694,9372.430368161902,1795.0,342.0,55.0,0,0.364404200023273
67,L1100_C2,10,10,10,8066.76,325,10,1,19,5652.448818905932,6085.760119410846,1625.0,306.0,50.0,0,0.4268570999847725
67,L1000_C2,10,10,10,11657.965,399,10,1,31,9396.560423726694,9219.965456611939,1995.0,393.0,50.0,0,0.2266374999890104
68,L1100_C2,11,11,11,8011.886,313,11,1,19,5602.401033953405,6089.88594241227,1565.0,302.0,55.0,0,0.44459729999653064
68,L1000_C2,11,11,11,11562.593,410,11,1,31,9452.390837861976,9053.592563530903,2050.0,404.0,55.0,0,0.35539420001441613
69,L1100_C2,13,13,13,8382.045,291,13,1,19,5399.0,6598.0454873109975,1455.0,264.0,65.0,0,0.6363481000007596
69,L1000_C2,13,13,13,11761.323,352,13,1,31,9060.560423726694,9596.322560917848,1760.0,340.0,65.0,0,0.42835140001261607
70,L1100_C2,15,15,15,7999.467,236,15,1,19,5207.0,6522.467477704351,1180.0,222.0,75.0,0,0.5788963999948464
70,L1000_C2,15,15,15,11513.372,309,15,1,31,8760.560423726694,9598.372211594264,1545.0,295.0,75.0,0,0.5438937999715563
71,L1100_C2,10,10,10,7785.52,270,10,1,19,5435.0,6130.520083218565,1350.0,255.0,50.0,0,0.3276248000038322
